frame,time,squat_id,state,phase,knee_angle,hip_angle,trunk_angle
1,0.033,,STANDING,,177.90493422783248,0.7421782220801856,0.5462815360510551
2,0.066,,STANDING,,177.9205009871559,0.6230102273404221,0.3681058046137455
3,0.1,,STANDING,,178.15467096647558,0.47144621473629705,0.27580577077571083
4,0.133,,STANDING,,178.35132126568726,0.3582147409257836,0.27873308013175147
5,0.166,,STANDING,,178.4488379637708,0.3164970853646093,0.32970386438061305
6,0.2,,STANDING,,178.6750030805994,0.2819322133862437,0.40318327518238756
7,0.233,,STANDING,,178.7602510606212,0.28848316678827135,0.5797257751235027
8,0.266,,STANDING,,178.6247137388436,0.45817615442126486,0.8976285819392045
9,0.3,,STANDING,,178.32907248141092,0.712098421132118,1.261625007369908
10,0.333,,STANDING,,178.05503130665406,1.0200082842217533,1.6529834838933373
11,0.367,,STANDING,,177.75827598743086,1.3317750427924229,2.049666840096298
12,0.4,,STANDING,,177.37156086655804,1.599929546150015,2.429529911282033
13,0.433,,STANDING,,177.12129490737,1.8367470396833336,2.736185405185215
14,0.467,,STANDING,,177.0173860734547,2.082634401024195,3.0030464526462732
15,0.5,,STANDING,,176.87357118532105,2.2266552686666117,3.1840939844919998
16,0.533,,STANDING,,176.67693118622762,2.262587029104682,3.274373345897447
17,0.567,,STANDING,,176.70068856703693,2.346999329474042,3.3488987121221436
18,0.6,,STANDING,,176.6818414616152,2.366326547536719,3.3729292140641682
19,0.633,,STANDING,,176.6144571512453,2.3190507383726935,3.34774100148935
20,0.667,,STANDING,,176.61336592555443,2.3046631159764104,3.3378222541701654
21,0.7,,STANDING,,176.66352834761383,2.3141001353825192,3.336541421887707
22,0.734,,STANDING,,176.75665386144243,2.328098863311838,3.3284145676704058
23,0.767,,STANDING,,176.92542755694734,2.3728814764005293,3.323452064786514
24,0.8,,STANDING,,177.10946774252818,2.425279948534133,3.3211488920491625
25,0.834,,STANDING,,177.3445706770621,2.4966555705726274,3.3201745153100317
26,0.867,,STANDING,,177.57653587438423,2.569234412373653,3.320160890928436
27,0.9,,STANDING,,177.74534719217831,2.6206944360402913,3.2970474998913675
28,0.934,,STANDING,,177.99407151437939,2.6965195938615296,3.270863300015094
29,0.967,,STANDING,,178.21094998662903,2.7520497788066764,3.2356586561816143
30,1.001,,STANDING,,178.42781333433604,2.791917316693013,3.170959383227166
31,1.034,,STANDING,,178.66246999213004,2.8358464542137463,3.1069178025407966
32,1.067,,STANDING,,178.91104095807887,2.889334258403374,3.0677246688334816
33,1.101,,STANDING,,179.14405825173742,2.937740810881305,3.024395405870856
34,1.134,,STANDING,,179.4161685648712,3.003903546292806,2.982868813256451
35,1.167,,STANDING,,179.5950305828855,3.0294579768422425,2.9452429332734162
36,1.201,,STANDING,,179.71598211727493,3.0421564933927834,2.901993480442348
37,1.234,,STANDING,,179.83907663927155,3.0687910128615936,2.8651793266837644
38,1.267,,STANDING,,179.81210261258929,3.039846558383247,2.8279543551643864
39,1.301,,STANDING,,179.74861837930638,3.002238115264011,2.8008603272387296
40,1.334,,STANDING,,179.6642895620543,2.9857487041143935,2.8015854394417077
41,1.368,,STANDING,,179.59870618335745,2.967804240225631,2.806438193732323
42,1.401,,STANDING,,179.5430774692498,2.9482132055068657,2.815809576562882
43,1.434,,STANDING,,179.47019140530054,2.8948350114679267,2.7982438851174973
44,1.468,,STANDING,,179.4353113522083,2.8654372677774496,2.7920087451783178
45,1.501,,STANDING,,179.35230600341168,2.817750827267051,2.7866991343839245
46,1.534,,STANDING,,179.29118901178637,2.779239187149769,2.792347739963742
47,1.568,,STANDING,,179.19458812558037,2.726705505710196,2.799860040782091
48,1.601,,STANDING,,179.10930408591784,2.6919844632435073,2.8229491263997866
49,1.634,,STANDING,,178.99112577477658,2.6483131026887214,2.844682132620864
50,1.668,,STANDING,,178.95729768267984,2.6245480981446367,2.8587209290321485
51,1.701,,STANDING,,178.91948823761632,2.6099481747255058,2.8769978766553814
52,1.735,,STANDING,,178.88834751284148,2.5918636978635616,2.8954356115599653
53,1.768,,STANDING,,178.88988617176102,2.60934316619755,2.94507514860506
54,1.801,,STANDING,,178.90932744771578,2.627412915258146,2.991286901720997
55,1.835,,STANDING,,178.94037938044474,2.656255369846816,3.044655949465023
56,1.868,,STANDING,,178.99724397933645,2.683386272999755,3.0918543916829484
57,1.901,,STANDING,,178.98560157719584,2.7032538336785934,3.141004687392646
58,1.935,,STANDING,,178.9443001521117,2.71665268126027,3.1910430885820302
59,1.968,,STANDING,,178.8131901915318,2.7052610014711362,3.2468865294629055
60,2.002,,STANDING,,178.67554674762513,2.6869046333435307,3.3012664172068305
61,2.035,,STANDING,,178.51112785504876,2.665926909561964,3.354200084018978
62,2.068,,STANDING,,178.4642393106192,2.668694371362762,3.402501697268869
63,2.102,,STANDING,,178.45497601515146,2.6950564072411725,3.4574823541085564
64,2.135,,STANDING,,178.51990257065626,2.7357460495123798,3.498947085986989
65,2.168,,STANDING,,178.59615201210946,2.7907958146693916,3.5402183497699427
66,2.202,,STANDING,,178.67966779789674,2.8478416300317786,3.580207682075835
67,2.235,,STANDING,,178.75683818829188,2.8878091283163347,3.60333715580533
68,2.268,,STANDING,,178.80435183063577,2.9066987282046313,3.6050637338728775
69,2.302,,STANDING,,178.86479722715745,2.92831382243672,3.6005990027118195
70,2.335,,STANDING,,178.91930154783137,2.9355925571030346,3.5820591705309823
71,2.369,,STANDING,,178.9610500151859,2.9328208190579046,3.5480783797502853
72,2.402,,STANDING,,178.98561107256782,2.897437971308021,3.474062933653502
73,2.435,,STANDING,,179.06150543352788,2.840836029395862,3.3606477646527666
74,2.469,,STANDING,,179.1267906752594,2.7611536052771264,3.2274095290179843
75,2.502,,STANDING,,179.15284412935864,2.650038809720912,3.0728509666340664
76,2.535,,STANDING,,179.16197071673508,2.520706916816195,2.9121810609865717
77,2.569,,STANDING,,179.26320379555264,2.450280957034166,2.7915960083651097
78,2.602,,STANDING,,179.380760475427,2.40600773731087,2.710669508589307
79,2.635,,STANDING,,179.4681984749342,2.3669878477921795,2.637101176386886
80,2.669,,STANDING,,179.5508862246011,2.3388515737626348,2.5800787880796845
81,2.702,,STANDING,,179.6617951464611,2.3371316797142265,2.5489701088108676
82,2.736,,STANDING,,179.72905462194655,2.3586843399412927,2.542454328711083
83,2.769,,STANDING,,179.6770515590299,2.3701231625798647,2.5454765484703934
84,2.802,,STANDING,,179.65921193097577,2.373557741956507,2.550394790246794
85,2.836,,STANDING,,179.683903391642,2.4017146311754303,2.5810239115438027
86,2.869,,STANDING,,179.70325027695844,2.4287815232892767,2.6213984699050172
87,2.902,,STANDING,,179.68398823271576,2.419637397141506,2.6581818588030406
88,2.936,,STANDING,,179.720037554183,2.4124168237016734,2.701938614095593
89,2.969,,STANDING,,179.71104912231445,2.4400464882005437,2.7638312025178067
90,3.003,,STANDING,,179.69077844506756,2.476135340743264,2.8330747858357275
91,3.036,,STANDING,,179.64150986125455,2.5224144008650695,2.8944117687971223
92,3.069,,STANDING,,179.56342994169552,2.5912585578991063,2.966232778811018
93,3.103,,STANDING,,179.4925208043225,2.66604074661499,3.04327673789807
