session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260211212113,0,0,-3.296,8.949,-1.413,0.024,-0.13,0.008,0.096,-10.068,-0.122,0.002,0.017,0.005,303095
20260211212113,1,0.304,-3.496,8.881,-1.517,0.001,-0.041,-0.021,-0.141,-10.061,-0.08,0.002,-0.015,-0.008,303399
20260211212113,2,0.61,-3.165,9.059,-1.662,0.177,-0.096,0.086,0.368,-9.85,0.919,0.163,0.065,-0.024,304009
20260211212113,3,0.412,-3.123,9.19,-1.974,0.031,-0.293,0.033,0.27,-10.026,0.889,-0.027,-0.097,-0.065,304421
20260211212113,4,0.307,-2.181,9.086,-1.109,-0.255,-0.193,0.311,-0.163,-10.984,-2.79,-0.368,0.653,0.09,304728
20260211212113,5,0.312,-1.511,9.282,0.439,0.11,-0.722,0.482,0.471,-10.118,0.619,-0.045,-0.38,0.509,305040
20260211212113,6,0.405,-1.17,9.54,-1.235,0.042,-0.256,-0.193,2.16,-9.768,0.391,0.058,-0.162,-0.028,305445
20260211212113,7,0.301,-2.544,9.069,-1.208,-0.108,-0.601,-0.558,2.093,-9.695,0.82,-0.021,0.151,0.053,305746
20260211212113,8,0.319,-6,7.789,-0.175,-0.155,0.483,-1.234,1.625,-10.207,1.08,0.318,0.165,-0.082,306065
20260211212113,9,0.313,-7.543,6.327,1.262,-0.35,-0.292,-0.878,2.17,-9.697,0.61,0.163,-0.526,-0.119,306378
20260211212113,10,0.506,-9.157,3.428,1.86,-0.015,-0.027,-0.274,2.361,-9.616,1.497,0.024,-0.083,-0.062,306884
20260211212113,11,0.295,-9.285,2.792,1.616,0.005,-0.152,-0.213,2.243,-9.672,2.067,0.031,0.016,-0.009,307179
20260211212113,12,0.317,-9.327,2.302,1.713,-0.094,-0.175,-0.028,2.222,-9.691,2.112,0.002,-0.003,0.042,307496
20260211212113,13,0.307,-10.164,2.5,1.402,-0.054,0.13,0.128,1.992,-9.795,1.999,-0.024,-0.02,0,307803
20260211212113,14,0.406,-9.044,4.263,0.708,0.032,0.102,0.949,2.425,-9.785,1.772,-0.085,0.044,-0.051,308209
20260211212113,15,0.409,-6.048,7.468,0.162,-0.064,0.028,0.788,1.939,-9.607,1.214,-0.13,-0.343,0.003,308618
20260211212113,16,0.309,-4.332,8.62,-0.134,0.065,0.042,0.642,2.277,-9.869,0.583,-0.036,-0.204,0.083,308927
20260211212113,17,0.203,-3.302,9.127,-0.291,0.104,0.135,0.537,2.079,-9.775,0.579,-0.071,-0.212,0.032,309130
20260211212113,18,0.204,-2.382,9.541,-0.852,0.078,-0.492,0.108,3.139,-9.623,0.622,-0.058,0.235,-0.097,309334
20260211212113,19,0.314,-1.908,9.617,-0.925,0.003,0.193,-0.014,2.428,-9.728,0.602,0.011,-0.106,0.012,309648
20260211212113,20,0.303,-2.259,9.114,-0.863,-0.007,0.084,-0.071,1.92,-9.843,0.464,-0.001,-0.087,0.013,309951
20260211212113,21,0.309,-2.558,9.208,-1.004,0.013,0.075,0.062,1.772,-9.887,0.459,0.017,-0.049,0.089,310260
20260211212113,22,0.206,-2.399,9.276,-1.07,0.002,-0.207,0.013,1.805,-9.79,0.639,0.014,-0.009,0.001,310466
20260211212113,23,0.307,-2.261,9.265,-1.035,0.007,-0.118,0.055,1.918,-9.882,0.56,0.002,-0.11,-0.003,310773
20260211212113,24,0.309,-1.938,9.315,-1.049,0.005,-0.123,-0.003,2.043,-9.789,0.654,-0.042,0.002,-0.027,311082
20260211212113,25,0.307,-1.334,9.318,-0.963,-0.027,-0.225,-0.267,1.869,-9.686,0.601,0.015,-0.019,0.023,311389
20260211212113,26,0.707,-7.082,6.83,0.504,-0.158,0.057,-0.664,1.725,-9.857,1.125,0.057,-0.094,0.007,312096
20260211212113,27,0.427,-8.827,4.82,0.487,-0.07,-0.013,-0.388,1.493,-9.96,1.443,0.088,-0.127,-0.093,312523
20260211212113,28,0.495,-9.065,3.742,0.915,-0.049,-0.106,-0.061,1.781,-9.768,1.596,0.055,-0.016,-0.024,313018
20260211212113,29,0.514,-8.627,4.719,-0.083,0.076,0.143,0.735,2.113,-9.845,1.457,-0.178,-0.043,0.034,313532
20260211212113,30,0.219,-7.438,6.256,-0.069,0.053,0.073,0.987,2.084,-9.91,1.219,-0.17,-0.027,0.079,313751
20260211212113,31,0.202,-5.789,7.888,0.05,0.133,-0.286,1.1,1.717,-9.777,0.666,-0.183,-0.152,0.029,313953
20260211212113,32,0.204,-3.721,8.569,-0.481,0.218,-0.091,1.02,1.565,-10.404,0.446,-0.1,-0.041,0.108,314157
20260211212113,33,0.314,-1.182,9.441,-1.542,-0.007,0.422,0.093,0.924,-10.012,0.364,0.035,0.272,-0.161,314471
20260211212113,34,0.193,-0.689,9.65,-0.987,0.011,-0.11,0.026,2.746,-9.715,0.77,-0.069,0.176,-0.03,314664
20260211212113,35,0.138,-0.889,9.583,-1.052,0.004,-0.214,-0.025,1.241,-10.004,0.002,0.006,-0.022,0.037,314802
20260211212113,36,0.172,-2.157,9.065,-0.52,0.104,-0.563,-0.402,0.179,-9.976,-0.328,0.06,-0.053,-0.076,314974
20260211212113,37,0.209,-3.27,9.192,-1.309,-0.155,0.026,-0.831,1.835,-9.678,0.036,0.142,-0.152,-0.003,315183
20260211212113,38,0.204,-4.963,8.554,-0.875,-0.184,0.037,-0.938,2.227,-10.116,0.97,0.12,0.283,0.048,315387
20260211212113,39,0.205,-6.153,7.539,-0.279,-0.088,-0.046,-0.618,2.27,-9.874,1.574,0.08,0.457,-0.005,315592
20260211212113,40,0.307,-7.72,6.307,0.121,-0.007,-0.035,-0.43,2.632,-10.208,1.676,0.02,0.358,-0.01,315899
20260211212113,41,0.203,-8.041,5.97,0.629,-0.087,0.065,-0.3,1.822,-9.912,1.212,0.099,0.041,0.007,316102
