session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260211211722,0,0,-1.132,9.521,-0.654,-0.007,-0.06,-0.014,1.23,-9.943,-0.364,-0.003,-0.057,-0.003,71568
20260211211722,1,0.206,-1.202,9.507,-0.701,-0.006,-0.053,-0.02,1.198,-9.97,-0.31,-0.012,-0.034,-0.003,71774
20260211211722,2,0.211,-1.207,9.516,-0.652,0.003,-0.079,-0.02,1.134,-9.959,-0.354,0.001,-0.082,-0.004,71985
20260211211722,3,0.199,-1.207,9.538,-0.684,0.009,-0.021,-0.009,1.155,-9.942,-0.398,0.01,-0.027,0.007,72184
20260211211722,4,0.139,-1.222,9.509,-0.675,0.014,-0.032,-0.027,1.169,-9.923,-0.264,0.005,-0.005,-0.002,72323
20260211211722,5,0.168,-1.293,9.486,-0.634,0.021,-0.014,-0.092,1.096,-9.948,-0.301,0.016,-0.092,-0.004,72491
20260211211722,6,0.208,-1.444,9.523,-0.664,0.032,-0.188,-0.028,1.074,-9.963,-0.353,0.02,0.02,0.048,72699
20260211211722,7,0.128,-1.366,9.534,-0.835,0.031,-0.083,-0.057,1.162,-10.002,-0.243,0.034,-0.031,0.064,72827
20260211211722,8,0.18,-1.596,9.413,-0.65,-0.037,-0.096,-0.167,0.926,-10.007,-0.065,0.03,0.008,-0.034,73007
20260211211722,9,0.142,-1.372,9.234,-0.474,0.028,-0.36,-0.303,0.841,-9.978,-0.221,0.042,-0.018,-0.105,73149
20260211211722,10,0.167,-2.349,9.044,-0.092,-0.052,-0.363,-0.644,1.543,-9.68,-0.036,0.104,0.077,-0.098,73316
20260211211722,11,0.309,-4.81,7.723,-0.316,-0.151,-0.283,-0.842,0.298,-9.915,0.72,0.057,-0.007,0.064,73625
20260211211722,12,0.132,-6.31,7.603,-0.251,-0.06,0.117,-0.887,1.31,-10.035,0.895,0.018,0.361,0.062,73757
20260211211722,13,0.176,-6.815,6.583,0.067,-0.231,-0.327,-0.891,0.468,-9.995,0.488,0.054,-0.195,-0.091,73933
20260211211722,14,0.132,-7.894,6.047,0.878,-0.234,-0.064,-0.818,2.31,-10.016,0.505,0.164,-0.182,-0.034,74065
20260211211722,15,0.176,-7.976,5.42,1.165,-0.097,-0.305,-0.651,0.66,-9.854,0.774,0.123,-0.279,-0.125,74241
20260211211722,16,5.42,-2.84,9.178,-0.756,-0.064,0.131,0.089,-1.324,-9.963,-0.675,-0.076,-0.192,0.117,79661
20260211211722,17,0.138,-2.467,9.26,-0.737,-0.099,0.294,-0.21,0.095,-10.016,-0.443,0.001,-0.003,-0.223,79799
20260211211722,18,0.21,-1.225,9.649,-0.065,-0.082,0.136,-0.148,1.598,-9.88,-0.701,-0.085,-0.24,-0.137,80009
20260211211722,19,0.201,-2.13,8.914,-0.462,-0.016,-0.257,0.031,0.474,-9.69,-1.062,-0.021,-0.091,-0.213,80210
20260211211722,20,0.202,-3.576,10.107,-0.313,-0.051,1.603,0.276,0.2,-11.068,-0.564,-0.06,-0.825,0.097,80412
20260211211722,21,0.209,-1.692,9.674,-0.692,0.16,-0.288,0.088,1.896,-9.807,-0.075,0.101,-0.181,-0.107,80621
20260211211722,22,0.213,-1.597,9.404,-1.091,0.102,0.004,0.009,1.887,-9.873,0.05,0.053,0.059,-0.053,80834
20260211211722,23,0.197,-1.518,9.419,-1.25,0.017,0.004,-0.033,1.702,-9.911,0.196,0.022,-0.071,-0.004,81031
20260211211722,24,0.403,-2.582,9.008,-0.693,-0.104,-0.04,-0.522,1.241,-10.013,0.06,0.045,0.083,0.034,81434
20260211211722,25,0.237,-3.45,8.404,-0.238,-0.103,-0.43,-0.738,0.598,-9.959,-0.407,0.035,-0.192,0.016,81671
20260211211722,26,0.336,-6.077,6.794,0.252,-0.14,0.024,-0.826,2.052,-10.102,1.107,0.147,0.137,0.015,82007
20260211211722,27,0.413,-8.644,5.338,0.379,-0.023,0.149,-0.551,2.621,-10.221,1.961,0.108,0.39,-0.096,82420
20260211211722,28,0.399,-9.295,3.943,1.65,-0.019,-0.222,-0.28,1.992,-9.988,0.857,-0.03,-0.012,-0.013,82819
20260211211722,29,0.556,-9.44,3.366,2.066,0.08,0.144,0.066,2.265,-9.864,0.864,0.002,-0.035,0.029,83375
20260211211722,30,0.366,-8.997,4.355,0.922,0.056,0.399,0.655,1.822,-9.849,1.161,-0.047,-0.16,0.028,83741
20260211211722,31,0.211,-7.793,5.128,-0.109,0.085,0.01,0.807,1.693,-9.878,1.23,-0.174,-0.017,-0.027,83952
20260211211722,32,0.313,-6.274,7.468,0.335,-0.027,-0.151,0.847,1.807,-9.765,0.434,-0.167,-0.184,0.076,84265
20260211211722,33,5.408,-7.834,5.6,0.178,0.177,0.127,1.05,2.578,-9.51,1.382,-0.126,0.187,0.071,89673
20260211211722,34,0.633,-3.41,8.885,0.108,0.147,0.327,0.655,0.968,-9.88,-0.457,-0.074,-0.166,0.074,90306
20260211211722,35,0.3,-2.053,9.23,-0.514,0.092,0.637,0.701,0.574,-10.008,-0.59,-0.058,-0.311,0.216,90606
20260211211722,36,0.21,-1.09,9.6,-0.973,0.044,-0.065,0.033,1.292,-9.898,-0.126,0.034,-0.037,-0.127,90816
20260211211722,37,0.305,-1.07,9.494,-0.774,0.025,-0.133,0.081,1.667,-9.875,-0.199,0.019,-0.072,-0.004,91121
20260211211722,38,0.41,-0.799,9.434,-0.945,0.01,-0.053,-0.03,1.432,-9.897,0.089,0.016,-0.016,0.024,91531
20260211211722,39,0.198,-0.788,9.587,-0.748,0.042,-0.053,-0.025,1.255,-9.98,0.007,0.022,-0.047,0.001,91729
20260211211722,40,0.326,-0.78,9.602,-0.902,0.009,-0.112,-0.008,1.317,-9.965,0.008,-0.007,0.049,-0.008,92055
20260211211722,41,0.399,-0.737,9.559,-0.747,0,-0.045,-0.011,1.431,-9.949,-0.066,-0.001,-0.027,-0.02,92454
20260211211722,42,0.195,-0.735,9.556,-0.936,0.002,-0.016,-0.012,1.531,-9.903,0.095,0.004,-0.04,-0.002,92649
20260211211722,43,0.327,-0.778,9.531,-1.007,0.01,-0.054,-0.003,1.486,-9.923,0.102,0.007,-0.057,0,92976
20260211211722,44,0.293,-0.755,9.527,-0.961,0.003,-0.061,-0.005,1.48,-9.89,0.118,-0.008,-0.012,0.007,93269
20260211211722,45,0.313,-0.798,9.515,-0.899,0.005,-0.021,-0.018,1.427,-9.915,0.135,0.003,-0.05,-0.002,93582
20260211211722,46,0.41,-0.742,9.533,-0.873,0.006,-0.059,0.004,1.468,-9.911,0.092,0,-0.035,-0.013,93992
20260211211722,47,0.403,-0.687,9.527,-0.894,0.007,-0.04,0.001,1.548,-9.905,0.106,0.003,-0.037,-0.006,94395
20260211211722,48,0.212,-0.652,9.517,-1,0.004,-0.06,-0.001,1.525,-9.906,0.118,-0.002,-0.01,-0.001,94607
20260211211722,49,0.139,-0.669,9.526,-0.913,0.005,-0.037,-0.009,1.444,-9.935,0.081,-0.002,-0.06,-0.003,94746
