imu,t_start,t_end,acc_rms,acc_var,gyro_rms,gyro_var,gyro_peak
imu0,466057,466147,9.76118683063947,0.015243671374427675,0.33629693697266055,0.04995228836955147,0.7572321466991218
imu0,466157,466247,9.847094805907862,0.000369860334167294,0.22051086864116665,0.002840027216152643,0.3261188347216105
imu0,466257,466347,10.035532542976679,0.0038382423988262714,0.3404483780876343,0.014944561991714223,0.5244570461819011
imu0,466357,466447,9.87154096515522,0.0037128350779257737,0.5187683039005174,0.05570837259296431,0.7042821049420983
imu0,466457,466567,9.873905292504476,0.003910582051408545,0.2630197880081211,0.007330655364510602,0.35015245251506155
imu0,466577,466667,9.892248121931246,0.0007820761087484656,0.093842872558699,0.001034647568940721,0.12343351329974718
imu0,466677,466767,9.867661612865499,3.239710828093651e-05,0.0649198442294253,0.00014610782429750314,0.09082036923468904
imu0,466777,466867,9.845947711550595,0.0002894093310810056,0.09238197708324443,0.0006685491813118878,0.11525642920280843
imu0,466877,466967,9.859212353917565,0.0002748312581733278,0.12274307372066635,0.0007102392626480291,0.14538549333192954
imu0,466977,467067,9.807311913519792,0.0011343068452977537,0.06171565457860212,0.0011111620798300395,0.11034446317358527
imu0,467077,467167,9.850749654526616,0.0037957945365840475,0.0908138083748425,0.000856343436639055,0.11702953239699859
imu0,467177,467267,9.956457233131816,0.00046729730685630966,0.07995240773498746,0.0011860070506549412,0.12176959719653156
imu0,467277,467367,9.841140936643097,0.0015310999845787455,0.10687100017733216,0.00036854735113245514,0.12634171152247978
imu0,467377,467467,9.813857880395267,0.0005821046538238298,0.10656229001106803,0.00010729507915971013,0.11775255086861286
imu0,467477,467567,9.866624317431219,1.7778627075559893e-05,0.09669590727300738,4.951288901878131e-06,0.09977584223434086
imu0,467577,467667,9.85082576769969,0.00026659223073097405,0.08307377586477,7.448543514980576e-05,0.09685692621579713
imu0,467677,467767,9.832865548072766,0.0002602190648349397,0.10291111123012475,0.0004324449752127147,0.13211759497844233
imu0,467777,467867,9.887572460384696,6.19482019161312e-05,0.10224180332263412,0.0008963200587928535,0.133679573582667
imu0,467877,467967,9.890867021781473,8.254460333446555e-06,0.03802062338477824,0.0003200440540462238,0.06841603980965236
imu0,467977,468067,9.876475141807587,6.126081991761573e-05,0.08479476587895167,1.8615417335598585e-05,0.08980506081823006
imu0,468077,468167,9.84266596197568,6.74742959438292e-05,0.05651073264448827,0.0001263183744674347,0.07492427463292305
imu0,468177,468267,9.867267350383235,0.00010898269017567638,0.05726888561042552,0.00038794416996862835,0.0985187958970926
imu0,468277,468367,9.842067365819995,0.00010984235963241933,0.16357754717738948,0.0004500396308158432,0.18613584241141531
imu0,468377,468467,9.844320573394633,9.165193627540288e-05,0.062402177846533534,0.0012895047528270562,0.1237008390098141
imu0,468477,468567,9.868800230723798,6.849723446918367e-05,0.033730135607808596,2.720688603606095e-06,0.03640494832299839
imu0,468577,468667,9.831256764168591,2.8848959670997572e-05,0.022876680525678244,0.00010156442796991415,0.034131019378613445
imu0,468677,468767,9.858145502221976,0.00021248010265521,0.017724715681126893,9.63939924945024e-06,0.020898715529484062
imu0,468777,468867,9.871877613058418,0.00014395583300070753,0.01445763603047765,4.6712965762169606e-05,0.026373312042903038
imu0,468877,468967,9.836511441975913,2.2528862522425263e-05,0.03942989301989659,9.536509488342162e-06,0.04298928061906798
imu0,468977,469067,9.86036989690893,0.0003405677379382342,0.037767536749665154,1.8605689299596594e-05,0.041932499758301815
imu0,469077,469167,9.888492708850055,0.00012892623922592972,0.02779977293133308,4.14435795563136e-05,0.0407373213446642
imu0,469177,469267,9.850727914640157,1.5708573118280548e-05,0.039573537291167186,7.205012304235273e-05,0.04840347541029465
imu0,469277,469367,9.865032886982839,1.7847352147052523e-05,0.03721453578330409,1.0103903834200872e-05,0.041733844415171306
imu0,469377,469467,9.862474017687411,2.9727800606750737e-05,0.042678583258679854,1.9281288622816958e-05,0.04811257613719268
imu0,469477,469567,9.833947563705596,6.028570341565649e-05,0.04540389038588193,0.00017412313721087213,0.06697019015353446
imu0,469577,469667,9.824394623068681,5.152853633735412e-05,0.050746592411595216,0.00032121871260151383,0.0697600560530751
imu0,469677,469767,9.861337136447451,4.5706475252835206e-05,0.03072290493961417,5.888360705748653e-05,0.03994827539828353
imu0,469777,469867,9.854952884893452,7.0391533249821076e-06,0.026194328183748696,0.0001101474930730027,0.035544996602461305
imu0,469877,469967,9.84879449446115,1.0183456418772463e-06,0.020262660227560927,1.6185764407894494e-05,0.02421585567187395
imu0,469977,470067,9.841355761256088,1.365973438919686e-05,0.04006276345032935,7.400430663592518e-05,0.05024312136752637
imu0,470077,470167,9.871674820530684,0.00022877342449837632,0.03879107084739616,7.625233308585035e-05,0.04986557841797967
imu0,470177,470267,9.882331035190887,1.2092456311569494e-05,0.018016561225046607,3.079637497194231e-06,0.02189854863024018
imu0,470277,470367,9.905014061043927,2.7870329998671194e-05,0.03831254146805052,0.00030751295223437676,0.06573594668240533
imu0,470377,470467,9.885066525538539,0.00010663112463290276,0.12014140669829607,0.0006790571437191961,0.15493831668267777
imu0,470477,470567,9.869171993846944,2.5702552437826896e-07,0.18468038393381833,0.0002707006705912452,0.21400533392575427
imu0,470577,470667,9.832774079973237,0.0007431800761077665,0.2716665119315046,0.00104849080142898,0.32948901598763064
imu0,470677,470767,9.819491015664667,0.0024876485738890945,0.5427981572352729,0.013642944233723763,0.6999705554710887
imu0,470777,470867,9.923357923484756,0.007339385503997117,0.6972067402129236,0.0003560774060548459,0.721976865448964
imu0,470877,470967,9.454466803043587,0.008450562370720614,1.05544124415722,0.062153554196348645,1.4527290894748932
imu0,470977,471067,9.398461648391836,0.0012746243092601136,1.8613795866308258,0.030256321137276422,2.1154711793820606
imu0,471077,471167,9.278398569110168,0.0002297250782252914,2.3498836772412623,0.006171745871248091,2.4193505488736946
imu0,471177,471267,9.327603376486675,0.029092914611470733,2.2096772129653646,0.010856174768314086,2.3580190821731373
imu0,471277,471367,10.329006575224708,0.05507786984144212,1.900498756845492,0.001818493451793601,1.9940882218550426
imu0,471377,471467,9.233459094041372,0.09140362157704593,1.6346152762558084,0.02958062412240243,1.8577179845574552
imu0,471477,471567,10.492886318049711,0.10088429017357155,1.2894487845026963,0.000667388751765639,1.335500432082303
imu0,471577,471667,10.309419521903731,0.0054723326456358945,1.060854530162338,0.011020685161576517,1.2205772204558896
imu0,471677,471767,9.654023423925862,0.31574551074891294,1.0720744079179783,0.00719088778942176,1.1612284852008647
imu0,471777,471867,9.211198172302579,0.2090940217774447,0.9933776675072628,0.005049235423110113,1.1231678561096547
imu0,471877,471967,10.48736112288552,0.01616017338471502,0.8386021159505839,0.005816261480851343,0.9133752689041509
imu0,471977,472067,10.72017400208043,0.017170220104302754,0.6316597857212455,0.05905742278117944,1.1911624919838433
imu0,472077,472167,10.50909697989637,0.14206884124237432,2.749190377077879,0.29370330521568133,3.3395174515244577
imu0,472177,472267,10.621093501983403,0.15764393462669504,0.9689302879529038,0.04622973552396227,1.4981394300820021
imu0,472277,472367,10.134087474012231,0.013429172045468415,1.2036068589418143,0.007927967539897891,1.3112332615082067
imu0,472377,472467,10.19607886064298,0.023786148083350927,1.500637271268232,0.013376759663255638,1.6879609218848077
