imu,t_start,t_end,acc_rms,acc_var,gyro_rms,gyro_var,gyro_peak
imu0,143079,143169,9.852686507595168,0.0017411892257519486,0.02858317704285021,0.0001559613866482053,0.04820016960930167
imu0,143179,143269,9.86411566490694,0.0004921037868723127,0.10160655175263324,0.0016220464030017624,0.16415947439409995
imu0,143279,143369,9.863798077596556,0.0019283277741563329,0.23421865650184928,0.000544640688075738,0.25366991599786803
imu0,143379,143469,9.80192074566796,0.0007042341181954518,0.24523101959685925,6.71193458473463e-06,0.2504492285616523
imu0,143479,143569,9.827041103918214,0.000712048741443935,0.18609555216790713,0.0010077572396242555,0.23360088300061854
imu0,143579,143669,9.899349982576013,0.002910221569013524,0.12686010630901828,0.0002631053891814402,0.13932909221715173
imu0,143679,143769,9.846145183560472,0.0013766833926554972,0.07629954779303681,1.7661120281632825e-05,0.08141597673003574
imu0,143779,143869,9.832452204986076,1.5396038632183003e-05,0.06840996290633616,0.0003476807616170377,0.08213879456429972
imu0,143879,143969,9.856429417798108,2.9989061935538977e-05,0.09461545580300577,0.0008608510828022395,0.11761462275360579
imu0,143979,144069,9.858027638143167,0.0001485925833269315,0.0765286832122329,0.00011884868745046015,0.09910549470008337
imu0,144079,144169,9.850670169826753,0.0006316277854960947,0.09168774152266519,0.0002729495822443147,0.10803073612351131
imu0,144179,144269,9.830998433454692,0.0005217165276242646,0.08906863099792946,0.0010206319388008482,0.11806038674351142
imu0,144279,144369,9.856603240387479,8.471255151610347e-05,0.08782712317488436,0.00019650363564539867,0.11151846990645249
imu0,144379,144469,9.874626340934036,4.8637693727427813e-05,0.057727346141603714,7.1522328189166355e-06,0.0642344084833511
imu0,144479,144569,9.864496502108025,4.928133622732393e-06,0.0429791595860636,6.63468279437282e-05,0.0550166683580206
imu0,144579,144669,9.855145802063758,6.086944144517437e-06,0.03275705344923665,5.2405768541946325e-06,0.035662403272341846
imu0,144679,144769,9.860660870298991,6.200951570505984e-05,0.027801468111542417,5.647686963416314e-06,0.031065344289840237
imu0,144779,144869,9.849807342362233,0.00016226928968444225,0.04091951683304931,0.0002759318404099555,0.05654128575923603
imu0,144879,144969,9.878013302529464,3.9042762337786664e-05,0.05248783765113838,7.11714984121348e-05,0.06329606175880365
imu0,144979,145069,9.85718928538527,7.870816417146569e-06,0.055630454859673634,2.8809105837054823e-05,0.06591718993131952
imu0,145079,145169,9.863022427677075,1.152405034333504e-07,0.08482346067335472,3.373707889663394e-05,0.08957041509332321
imu0,145179,145299,9.863104284632726,8.220827177283653e-07,0.07749901822458842,3.589853040684541e-05,0.0858826988495065
imu0,145309,145399,9.870137646885945,6.935973041891638e-06,0.0634075934074111,1.1079581389296557e-05,0.06968216229568164
imu0,145409,145499,9.858195387715039,1.0479224231206149e-05,0.06962228086406427,2.874827057650525e-06,0.07163505613019418
imu0,145509,145599,9.86694905751128,3.6374443453468006e-06,0.07585559032491981,4.052502372454518e-05,0.08803038821856154
imu0,145609,145699,9.862424559130595,5.290486780185712e-06,0.12577996678622727,0.00041802340623707887,0.15512082588715465
imu0,145709,145799,9.864147210571685,4.485125701898609e-05,0.16213009583364604,3.640857184955369e-05,0.16787588091897798
imu0,145809,145899,9.869471258957807,2.112863716038187e-05,0.10222334967550219,0.000487625487895116,0.13949951450167317
imu0,145909,145999,9.863299902734678,1.4685380626639493e-06,0.09347542555966552,5.42305538308826e-05,0.10279165662117974
imu0,146009,146099,9.859712498827374,2.219401520754492e-06,0.10241243466023758,5.3794152423615456e-06,0.10498609543100983
imu0,146109,146199,9.868700401824452,4.87904549098301e-06,0.11777730110189794,0.00020570352644334126,0.14135151934261836
imu0,146209,146299,9.862236528863324,1.5218997587686424e-05,0.141616026603825,0.00010361980038655792,0.15084645541434713
imu0,146309,146399,9.864136859975536,1.1222713259991905e-05,0.1058945457528665,1.7293010079229405e-05,0.11381238021821653
imu0,146409,146499,9.861298731280552,4.207212126713287e-06,0.10622087387260414,4.8447821884219216e-05,0.11306496346088596
imu0,146509,146599,9.856211112284434,8.867531147180021e-07,0.0756151180751313,4.205346015770364e-05,0.08842516361962377
imu0,146609,146699,9.8644382109469,6.43762162230331e-06,0.06855849769299183,4.9261209984183546e-05,0.07442389932922594
imu0,146709,146799,9.865951259931853,4.367467596085623e-06,0.04437097253567888,2.8887552138322072e-05,0.05584982929276485
imu0,146809,146899,9.86169638716309,2.099784606471769e-05,0.0919132264931823,0.00020260146468209782,0.10491340355043911
imu0,146909,146999,9.863682953426512,1.0969979415558068e-05,0.09310719803282842,2.5950304698908608e-05,0.10248291620888214
imu0,147009,147099,9.865137225175427,5.312709182687509e-07,0.09017101265701002,1.2320705701729256e-06,0.0918993374531371
imu0,147109,147199,9.867894619778989,1.1993826938205612e-06,0.09368720576479948,6.678018883953095e-07,0.09510586523732106
imu0,147209,147299,9.864492461769842,1.3868679839691736e-06,0.10095837396648605,1.2301142892119828e-05,0.10690217063747579
imu0,147309,147399,9.867463070226608,2.454960228022445e-07,0.11212943010459907,5.412984630416887e-06,0.11485290376127764
imu0,147409,147499,9.867211844368104,3.6568085225171177e-07,0.09215144896207435,3.8892354004961954e-05,0.1045389480277893
imu0,147509,147599,9.866179714952597,1.3912784443741167e-05,0.10812087497421037,6.913020521133707e-05,0.11640418651216985
imu0,147609,147699,9.861956800471983,9.274848205611421e-06,0.10125791693065878,5.266897453966901e-05,0.11372287718821134
imu0,147709,147799,9.866937922514762,4.3944786268665547e-07,0.10980753337997173,7.169978444730524e-05,0.11902604187236981
imu0,147809,147899,9.862273327009243,3.059864785195751e-06,0.10079118232415712,5.531951856737318e-05,0.11511290401299466
imu0,147909,147999,9.871713706341167,5.934166278543048e-06,0.11326340197235962,4.564335452527332e-05,0.12015551132783495
imu0,148009,148099,9.859799852890756,5.062300280901771e-06,0.09843790196545393,3.05024138575716e-05,0.11022744439842504
imu0,148109,148199,9.857666237722544,2.746293519569784e-06,0.0992721285724251,1.0940560534084028e-06,0.10029125604549152
imu0,148209,148299,9.869259373927983,6.039028062717897e-06,0.11197338343989378,6.958720519814222e-05,0.12460669973150511
imu0,148309,148399,9.865008462402425,6.115404038847636e-06,0.12673431184237705,2.6959523217152035e-06,0.12838014493348318
imu0,148409,148499,9.85641483580416,2.2743942157736516e-06,0.10815963303904685,6.840595077633598e-05,0.12098131476934505
imu0,148509,148599,9.86331472926362,2.1334195493498643e-06,0.10412478993301455,3.598907500171521e-05,0.11342777527014403
imu0,148609,148699,9.86052638558966,1.3521107573256838e-06,0.11635406297050166,1.0099483442084992e-06,0.11846296251201728
imu0,148709,148799,9.854153425490912,7.911528137192909e-06,0.12183553373393513,7.063851104848735e-06,0.12468722612807785
imu0,148809,148899,9.859137861250215,2.1088742356404585e-05,0.09738202966106305,5.144699779623749e-05,0.11166773186138333
imu0,148909,148999,9.865102178045312,5.980078733752283e-07,0.10670895694832663,2.0798520003367832e-05,0.11093638525017328
imu0,149009,149099,9.861842493403937,2.574455044869112e-06,0.10625371850407477,9.845216012097825e-06,0.11298325383296005
imu0,149109,149199,9.864207646146658,3.7233021642583294e-07,0.11661854641722105,7.776840928678371e-07,0.11791448152180979
imu0,149209,149299,9.866966141134801,7.847421328068196e-06,0.1298036639769401,3.9998783848742044e-05,0.13647137338205573
imu0,149309,149399,9.855297052459301,3.522164439226108e-06,0.11087081642005807,0.00016107930429495404,0.13082724919187613
imu0,149409,149499,9.865638050316146,7.978117034669103e-06,0.09573951855589496,2.6182876732769755e-05,0.10499217448953332
imu0,149509,149599,9.861415811020658,5.802058281420095e-06,0.10094699760101962,3.5803452075087024e-05,0.10731947239669813
imu0,149609,149699,9.859210179221616,6.190622600073313e-07,0.09631387488980651,2.6371025780362757e-05,0.10330126771152064
imu0,149709,149799,9.860785178235242,1.0093036684770342e-05,0.09490660781707928,1.6312456883020643e-05,0.10243002369720085
imu0,149809,149899,9.86210058326833,7.733250490724809e-06,0.11125638522316113,3.418230941216371e-05,0.11717207799023531
imu0,149909,149999,9.863067562246446,2.821876544019666e-06,0.09807154252393291,1.9515122809707786e-05,0.10773294568367275
imu0,150009,150099,9.85993504136815,1.0503118899711484e-06,0.0943093397214403,2.6091078044673763e-05,0.09940039198068441
imu0,150109,150199,9.863742821802205,1.440415644340627e-06,0.0936132803790728,8.737463865491519e-05,0.10987309195289716
imu0,150209,150299,9.859794755507753,1.7061719621754095e-06,0.10063138066108482,0.0001250401487863933,0.11283455584746852
imu0,150309,150399,9.863611553774877,7.645394813838698e-07,0.08520298670401587,2.8551688001080354e-05,0.09399255622125892
imu0,150409,150499,9.858764508970303,2.1150304128155554e-06,0.0927604527831206,7.091108421481202e-06,0.09563284656354652
imu0,150509,150599,9.86034542488217,5.237625019123223e-06,0.0893008553362062,3.3207077703146133e-06,0.09223277354480586
imu0,150609,150699,9.86420298295591,1.7263727047942794e-07,0.09455068024849658,3.6350472468904303e-06,0.09825748888484118
imu0,150709,150799,9.858516651011541,6.564202651040007e-06,0.09908727224425508,1.8986267004994447e-06,0.10057413239468857
imu0,150809,150899,9.85867261005158,4.7479692312562e-06,0.10387871906450885,3.6435242094332495e-05,0.11297374290449363
imu0,150909,150999,9.86194376431754,1.5368609063212774e-06,0.09788198323702256,0.00013101015938481446,0.11296612389292955
