session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts,imu0_ax_f,imu0_gx_f,imu0_ay_f,imu0_gy_f,imu0_az_f,imu0_gz_f,imu1_ax_f,imu1_gx_f,imu1_ay_f,imu1_gy_f,imu1_az_f,imu1_gz_f,time_s,knee_angle_imu,thigh_pitch,shank_pitch,imu_squat_id,imu_phase
20260218_175550,0,0.0,0.39,-7.79,-5.452,0.0448695652173913,-0.6873277591973244,-0.3778896321070234,-1.338,-10.073,0.365,-0.1447826086956521,-0.3891672240802675,0.0085953177257525,466057,0.3634335158429384,0.0414078124506837,-7.803632448565815,-0.6619022577757928,-5.443994397132263,-0.3654741006062086,-1.3612403428355506,-0.1458190697430237,-10.07834735286279,-0.3812070668549503,0.3788292153946157,0.0084873632071223,0.0,170.8162153094424,2.1254294496949053,-7.058355240862671,,
20260218_175550,1,0.01,0.13,-7.805,-5.956,-0.0661304347826087,-0.6913277591973244,-0.3598896321070234,-1.204,-10.049,-0.214,-0.1307826086956521,-0.4451672240802676,0.0105953177257525,466067,0.2379939692010908,0.0086788277732836,-7.869795087914612,-0.482100354601663,-5.48158203633312,-0.2778341461171034,-1.1905403463501258,-0.1221962448901248,-9.98300469959825,-0.3016695668893561,0.0962420661778679,0.0179221284520214,0.01,170.87273522975107,2.0927242780843303,-7.034540492164632,,
20260218_175550,2,0.01,-0.078,-7.874,-6.244,-0.1171304347826086,-0.5583277591973244,-0.2858896321070234,-0.72,-9.906,-0.343,-0.0937826086956521,-0.4631672240802675,0.0185953177257525,466077,0.1218852583403942,-0.0215071663521639,-7.938503113447421,-0.3156654285699597,-5.507628589518082,-0.1954695108012008,-1.0254319990872571,-0.0997590310153625,-9.89313066936004,-0.2263645587227344,-0.1721294096966671,0.0276321347578431,0.02,170.97874677929755,2.0370382676659,-6.984214953036563,,
20260218_175550,3,0.01,-0.167,-7.786,-6.13,-0.0821304347826086,-0.3483277591973244,-0.1878896321070234,-0.035,-9.711,-0.589,-0.0517826086956521,-0.3701672240802676,0.0265953177257525,466087,0.023220385641767,-0.0472473575217612,-8.01124556659956,-0.1719345731897184,-5.51423144683258,-0.1216636310903941,-0.8744036660264226,-0.0797175069530537,-9.81471964656983,-0.1582128193716559,-0.411154041040954,0.0379210607563571,0.03,171.12704758101714,1.963010159257628,-6.9099422597252245,,
20260218_175550,4,0.01,-0.193,-7.661,-6.141,-0.0391304347826086,-0.1103277591973244,-0.0888896321070234,0.268,-9.666,-0.865,-0.0137826086956521,-0.1981672240802675,0.0395953177257525,466097,-0.0512030726091735,-0.0670859145089228,-8.08739410233378,-0.0586485557229158,-5.498046857570762,-0.059133482725513,-0.7431446228329964,-0.0629362091254938,-9.752483906256868,-0.0998770126137332,-0.6086071538139664,0.0490102328739402,0.04,171.30823738711388,1.8764372524611883,-6.815325360424902,,
20260218_175550,5,0.01,-0.096,-7.749,-5.775,-0.0481304347826086,0.1316722408026756,0.0221103678929765,-0.069,-9.486,-0.919,0.0162173913043478,0.0258327759197324,0.0545953177257525,466107,-0.0965769214317501,-0.0801525773016865,-8.163851266849852,0.0188448511452061,-5.461099797013636,-0.0097545565231945,-0.633910425353712,-0.0498226092311686,-9.70935875413248,-0.053510686942877,-0.7561783358959849,0.0610065966687746,0.05,171.51180284268438,1.7837626186513056,-6.704434538664333,,
20260218_175550,6,0.01,-0.068,-8.049,-5.579,-0.0731304347826087,0.2756722408026756,0.0951103678929766,-0.726,-9.549,-0.912,-0.0077826086956521,0.1848327759197324,0.0775953177257525,466117,-0.1105382362404412,-0.0862318006544315,-8.235272858209091,0.0583282095882074,-5.410432443284357,0.025703789916892,-0.5458006233989129,-0.0402931926518231,-9.686248765198783,-0.020420433832547,-0.8499490592201007,0.0738878887079813,0.06,171.72724759761795,1.6915139807696409,-6.581238421612391,,
20260218_175550,7,0.01,0.208,-8.256,-5.099,-0.0721304347826087,0.2796722408026756,0.1251103678929765,-1.265,-9.649,-0.895,-0.0307826086956521,0.2318327759197324,0.0965953177257525,466127,-0.0934124686482081,-0.085768083843554,-8.294878984172984,0.0612436768285201,-5.356681301278356,0.0477771626369218,-0.4758389583717916,-0.0338254579215361,-9.68205731687989,-0.0007347795454134,-0.8903283970621574,0.0875045482563288,0.07,171.94502173418184,1.605775124466073,-6.44920314135212,,
20260218_175550,8,0.01,0.507,-8.53,-4.927,-0.1391304347826087,0.3656722408026756,0.2061103678929766,-1.371,-9.778,-0.802,-0.0607826086956521,0.1828327759197324,0.1075953177257525,466137,-0.04829006779813,-0.0798150228400492,-8.335736583673688,0.0328519450607751,-5.311895436740745,0.0583756182257456,-0.4204845499360745,-0.0295867132561988,-9.69399217076568,0.0068008998263592,-0.8815177454211671,0.1015947066842442,0.08,172.15711035634803,1.531731685610476,-6.311157958041482,,
20260218_175550,9,0.01,-0.444,-8.88,-4.853,-0.1491304347826087,0.4296722408026756,0.2451103678929766,-1.17,-9.831,-0.743,-0.0707826086956521,0.0968327759197324,0.1185953177257524,466147,0.0190168458410525,-0.0699310340754231,-8.352271735019537,-0.0181066718864467,-5.287052591860951,0.0606698477455354,-0.3770560767742738,-0.0266129177930709,-9.718084072448557,0.004804968118802,-0.8306388878331296,0.115807047252882,0.09,172.35729301171844,1.4732864148825988,-6.169420573398987,,
