session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260204170406,0,0,-0.785,-7.141,6.79,0.005,-0.039,-0.014,0.336,5.756,-7.466,0.001,-0.039,-0.002,109698
20260204170406,1,0.418,-0.787,-7.137,6.9,0.005,-0.04,-0.013,0.334,5.754,-7.414,0.001,-0.038,-0.002,110116
20260204170406,2,6.016,-2.39,-6.388,6.285,0.128,-0.482,0.047,0.406,5.477,-7.701,-0.046,0.005,-0.027,116132
20260204170406,3,0.162,-1.722,-7.778,5.709,-0.735,-0.117,1.293,0.453,5.259,-7.917,-0.034,0.255,-0.43,116294
20260204170406,4,0.188,-1.457,-6.968,7.102,-0.308,0.324,0.43,0.823,4.643,-8.042,-0.395,0.01,-0.156,116482
20260204170406,5,0.201,-1.854,-6.979,6.848,0.045,-0.061,-0.252,0.348,5.728,-7.467,0.005,-0.038,-0.002,116683
20260204170406,6,0.208,-1.869,-6.895,6.841,0.003,-0.043,-0.023,0.348,5.731,-7.469,0,-0.04,-0.002,116891
20260204170406,7,0.202,-1.813,-6.926,6.855,0.002,-0.043,-0.029,0.378,5.7,-7.468,0.001,-0.034,-0.024,117093
20260204170406,8,0.407,-1.765,-6.938,6.9,0.003,-0.04,-0.025,0.346,5.738,-7.414,-0.002,-0.038,-0.002,117500
20260204170406,9,0.62,-1.713,-6.951,6.946,0.004,-0.04,-0.02,0.357,5.733,-7.439,0,-0.038,-0.002,118120
20260204170406,10,0.312,-1.697,-6.948,6.901,0.004,-0.04,-0.02,0.347,5.752,-7.32,0,-0.04,-0.002,118432
20260204170406,11,0.619,-1.524,-6.84,6.851,-0.057,-0.009,0.358,0.365,5.632,-7.533,0.01,-0.04,-0.002,119051
20260204170406,12,5.62,-3.326,-7.99,6.236,0.318,-0.253,0.133,-0.268,4.335,-7.783,-0.643,-0.054,-0.015,124671
20260204170406,13,0.551,-2.023,-6.977,6.839,0,-0.036,-0.002,0.348,5.654,-7.517,-0.007,-0.038,-0.003,125222
20260204170406,14,0.345,-2.017,-6.979,6.794,0.001,-0.043,-0.006,0.379,5.653,-7.456,0.004,-0.035,-0.009,125567
20260204170406,15,0.622,-1.512,-7.312,6.878,0.069,-0.081,-0.333,2.116,4.604,-6.573,0.068,1.55,0.538,126189
20260204170406,16,0.505,-1.638,-6.948,7.56,0.209,-0.373,-0.167,4.771,5.515,-6.249,0.186,0.061,0.039,126694
20260204170406,17,0.724,-0.15,-6.775,7.198,-0.17,-0.101,0.059,6.657,7.113,-8.182,1.111,-0.756,0.31,127418
20260204170406,18,0.712,-0.087,-6.986,7.291,0.179,-0.057,0.034,1.175,4.326,-8.163,-0.114,-0.111,0.451,128130
20260204170406,19,1.026,-0.106,-7.073,6.955,0.002,-0.039,-0.014,0.888,4.772,-8.029,0.001,-0.037,-0.005,129156
20260204170406,20,0.404,-0.105,-7.07,7.025,0.004,-0.039,-0.014,0.885,4.777,-7.987,0.001,-0.038,-0.006,129560
