time,squat_id,phase,phase,phase_percent,knee_video,knee_imu,knee_error,trunk_video,thigh_pitch,shank_pitch,omega_imu,acc_imu,jerk_imu
0.033,,,,,177.90493422783248,171.12704758101714,6.777886646815347,0.5462815360510551,1.963010159257628,-6.9099422597252245,0.21586071754911607,9.725602457632524,5.833773402484155
0.066,,,STABLE,,177.9205009871559,171.94502173418184,5.975479252974054,0.3681058046137455,1.605775124466073,-6.44920314135212,0.11571347988590609,9.874602666175424,1.5156867640344558
0.1,,,ASCENT,,178.15467096647558,172.54121008875086,5.6134608777247195,0.2758057707757108,1.432710785659829,-6.0260791255892965,0.1151865216588395,9.878035338322672,-0.9508602196415268
0.133,,,ASCENT,,178.35132126568726,172.98151185950107,5.369809406186192,0.2787330801317514,1.4095965272576652,-5.608891613241205,0.22637185618945332,9.838742187110599,-1.1497806560784625
0.166,,,STABLE,,178.4488379637708,173.4534192229139,4.9954187408569055,0.329703864380613,1.3848402536809197,-5.161740523405175,0.21111996566575988,9.833429453520475,1.2114098008167389
0.2,,,ASCENT,,178.6750030805994,174.02012473599936,4.654878344600036,0.4031832751823875,1.0774607228343993,-4.902414541166254,0.38006980074518637,9.909358097509276,3.8571092955644417
0.233,,,STABLE,,178.7602510606212,174.91446398606158,3.8457870745596097,0.5797257751235027,0.4916842981258803,-4.593851715812559,0.33682232375654525,10.0430078327136,4.016111698090583
0.266,,,STABLE,,178.6247137388436,176.29490806933558,2.3298056695080334,0.8976285819392045,-0.2456016556229713,-3.95069358628749,0.24699635527094774,10.088097325388205,-2.18187888896108
0.3,,,DESCENT,,178.32907248141092,177.04691051693027,1.2821619644806503,1.261625007369908,-0.3622375227388992,-3.315327005808578,0.6249555127707864,9.982981923310689,-3.7408203617585514
0.333,,,DESCENT,,178.05503130665406,177.3399578984823,0.7150734081717474,1.6529834838933373,0.0198535353828077,-2.640188566134908,0.6786915239535766,9.893601120153399,-2.1800593382662328
0.367,,,DESCENT,,177.75827598743086,177.26009942118955,0.49817656624131246,2.049666840096298,0.919794030641914,-1.820106548168607,0.25425605337317947,9.817791416779176,-1.8186692931782886
0.4,,,DESCENT,,177.37156086655804,177.26277853995356,0.10878232660448361,2.429529911282033,1.3900056132816432,-1.3472158467648714,0.14471634055424595,9.784042408749098,0.13749895298155934
0.433,,,DESCENT,,177.12129490737,177.53394138402635,-0.4126464766563629,2.736185405185215,1.427760688197031,-1.0382979277766355,0.34314889434087953,9.834555305950074,2.8489435881111262
0.467,,,STABLE,,177.0173860734547,178.19269620184755,-1.1753101283928515,3.003046452646273,0.9534250134233704,-0.8538787847292443,0.22946537652388194,9.939577927987278,1.3408490845519054
0.5,,,STABLE,,176.87357118532103,178.5385052403872,-1.664934055066169,3.184093984492,0.6481943270584981,-0.8133004325544596,0.0939504799750543,9.948587169125929,-0.5094915094084627
0.533,,,DESCENT,,176.67693118622762,178.84185578755603,-2.1649246013284085,3.274373345897447,0.3788203003462927,-0.7793239120978251,0.032094582859806875,9.930358131155858,-1.2517909173459998
0.567,,,BOTTOM,,176.7006885670369,179.27815558984952,-2.5774670228126126,3.348898712122144,0.0392172199964684,-0.6826271901541067,0.12343351329974714,9.879860988613713,-0.9332099861023266
0.6,,,STABLE,,176.6818414616152,179.50676891008786,-2.824927448472664,3.372929214064168,-0.1007561228215364,-0.5939872127336986,0.09360051760456478,9.862182653015521,-0.2824812834168142
0.633,,,STABLE,,176.6144571512453,179.71808925802287,-3.1036321067775816,3.34774100148935,-0.2375093170592154,-0.5194200590359322,0.0594247298173359,9.860356298095835,0.10398400254069884
0.667,,,STABLE,,176.61336592555443,179.99830556342908,-3.384939637874652,3.337822254170165,-0.4482697133670396,-0.4499641500381867,0.054305610204483455,9.869167569742492,0.2659134287619622
0.7,,,BOTTOM,,176.66352834761383,179.82754967449915,-3.164021326885319,3.336541421887707,-0.5682847885741101,-0.3958344630726557,0.07887122004836064,9.874936619340788,0.037541124314373064
0.734,,,STABLE,,176.75665386144243,179.71880697477587,-2.962153113333443,3.3284145676704058,-0.5973932515307107,-0.3162002263079619,0.11059770816694144,9.868437397256507,-0.4933826909341974
0.767,,,ASCENT,,176.92542755694734,179.67118953991047,-2.7457619829631312,3.323452064786514,-0.4928536302484066,-0.1640431701600151,0.09719418389618358,9.839697738306754,-0.7260204887466557
0.8,,,ASCENT,,177.10946774252818,179.66415535987835,-2.5546876173501687,3.3211488920491625,-0.3735214074311133,-0.0376767673095758,0.04776853092823218,9.825790803359558,-0.08653777239055671
0.834,,,ASCENT,,177.3445706770621,179.63195502876025,-2.2873843516981367,3.320174515310032,-0.2973423642912389,0.0707026069489388,0.08348062411598696,9.835961904300198,0.7027785088835685
0.867,,,ASCENT,,177.57653587438423,179.5113542190514,-1.9348183446671783,3.320160890928436,-0.3420360325527928,0.1466097483961849,0.1433320260503541,9.869225027947271,0.6451433759998508
0.9,,,ASCENT,,177.74534719217831,179.39040272223764,-1.6450555300593237,3.2970474998913675,-0.4866239990769743,0.1229732786853685,0.13478277060388127,9.87582979490518,-0.28996300489956184
0.934,,,ASCENT,,177.9940715143794,179.29288173890097,-1.29881022452156,3.270863300015094,-0.6770450369831973,0.030073224116097,0.09552195656047535,9.851847287595747,-1.2261456830232191
0.967,,,ASCENT,,178.21094998662903,179.25123453887664,-1.0402845522476127,3.2356586561816143,-0.8638977836345447,-0.1151323225108303,0.04067022029857048,9.794753415726845,-1.303461476228847
1.001,,,ASCENT,,178.42781333433604,179.28456189731918,-0.8567485629831424,3.170959383227166,-0.8693142103832772,-0.1538761077028018,0.010946316594012606,9.768333580699968,-0.32098055505889533
1.034,,,ASCENT,,178.66246999213004,179.33456304221104,-0.6720930500810027,3.1069178025407966,-0.7773848599977369,-0.111947902209135,0.04555228793241215,9.778864087969138,1.0484345934141288
1.067,,,ASCENT,,178.91104095807887,179.34449546510882,-0.4334545070299498,3.0677246688334816,-0.6799622840267696,-0.0244577491352685,0.1112877703584159,9.854591783987797,2.5260479367623248
1.101,,,ASCENT,,179.14405825173742,179.28958318379168,-0.14552493205425776,3.024395405870856,-0.7167103598330862,-0.0062935436247101,0.10603951723917279,9.931191315944929,2.2376914577307616
1.134,,,ASCENT,,179.4161685648712,179.22085488307985,0.19531368179136166,2.982868813256451,-0.7934844372486305,-0.0143393203283925,0.040583590314410584,9.976269049484037,0.6302474938875093
1.167,,,ASCENT,,179.5950305828855,179.183292605191,0.41173797769448583,2.945242933273416,-0.7636101767200969,0.0530972180886526,0.07509504222210597,9.961752584189648,-1.0230933279178203
1.201,,,STABLE,,179.71598211727493,179.1987733288278,0.5172087884471352,2.901993480442348,-0.5830273181457329,0.2181993530262126,0.11562445659274938,9.926832419604787,-1.1963777150003239
1.234,,,STABLE,,179.83907663927155,179.22607845751398,0.6129981817575754,2.8651793266837644,-0.3299774257872864,0.4439441166991007,0.1263417115224797,9.890182348029564,-1.304149408584351
1.267,,,STABLE,,179.81210261258929,179.2824954075379,0.5296072050513772,2.8279543551643864,-0.0467428775353844,0.6707617149270905,0.10535506384672913,9.83149813883824,-1.5127474870811852
1.301,,,STABLE,,179.74861837930638,179.36328682179163,0.38533155751474624,2.8008603272387296,0.0407375309104978,0.6774507091183756,0.0774730938741115,9.79333963697953,-0.8562351673814987
1.334,,,STABLE,,179.6642895620543,179.46844245779815,0.1958471042561598,2.801585439441708,0.0019782712332392,0.5335358134351801,0.09446713104134324,9.784761481199675,0.2869395565066384
1.368,,,STABLE,,179.59870618335745,179.5711440679133,0.027562115444141,2.806438193732323,-0.1866011184780635,0.2422548136085373,0.11775255086861282,9.816641717947487,1.0340251692973084
1.401,,,STABLE,,179.5430774692498,179.58128366212742,-0.038206192877623835,2.815809576562882,-0.335260066389998,0.0834562714820659,0.10435858553589245,9.845023581778905,0.7672617525024066
1.434,,,STABLE,,179.47019140530054,179.53909978190657,-0.0689083766060321,2.7982438851174973,-0.4165677380274797,0.0443324800659598,0.09441319634568773,9.86139134054492,0.34236518901406043
1.468,,,STABLE,,179.4353113522083,179.4343728195348,0.0009385326735014132,2.7920087451783178,-0.4053370611200806,0.1602901193454095,0.09668739171388284,9.868501007090035,0.09225929875628935
1.501,,,STABLE,,179.35230600341168,179.3429107574557,0.009395245955971632,2.7866991343839245,-0.3535852672105494,0.3035039753336549,0.09977584223434079,9.870696179270686,0.04163172679153604
1.534,,,STABLE,,179.29118901178637,179.2562687242491,0.034920287537261174,2.792347739963742,-0.3103357462782617,0.433395529472862,0.0939542205343779,9.869147043255142,-0.1993644960470533
1.568,,,STABLE,,179.19458812558037,179.18045729066216,0.014130834918205437,2.799860040782091,-0.2956654361910054,0.5238772731467332,0.07975434380026292,9.850662946442604,-0.6879156908359505
1.601,,,STABLE,,179.10930408591784,179.17694485426932,-0.06764076835148103,2.8229491263997866,-0.3168126464733714,0.5062424992572401,0.0724510074693255,9.829011735949855,-0.6427297288305454
1.634,,,STABLE,,178.99112577477658,179.20787014887895,-0.21674437410237601,2.844682132620864,-0.3593243093513507,0.4328055417699595,0.0755819363241796,9.816741826453898,-0.10143300535969502
1.668,,,STABLE,,178.95729768267984,179.23215378506117,-0.2748561023813352,2.8587209290321485,-0.4375432423849388,0.330302972554069,0.10378850863947556,9.830259217137163,0.7015786951151313
1.701,,,STABLE,,178.91948823761632,179.18768829070544,-0.2682000530891173,2.876997876655381,-0.5138380137031823,0.2984736955913638,0.12767202644970452,9.854976650675802,0.8455508992803971
1.735,,,STABLE,,178.88834751284148,179.01455332456166,-0.1262058117201832,2.8954356115599653,-0.6413670496573414,0.3440796257809054,0.12705441811247664,9.882527286690618,0.4655916991183062
1.768,,,BOTTOM,,178.88988617176102,178.82203193930675,0.06785423245426614,2.94507514860506,-0.7320395231232862,0.4459285375698819,0.09682803465874525,9.891666110124627,0.1793265956320056
1.801,,,STABLE,,178.90932744771578,178.6290066731168,0.28032077459897664,2.991286901720997,-0.7938845644287177,0.5771087624545213,0.05844651239709456,9.894834073513506,0.04974456690246143
1.835,,,STABLE,,178.94037938044474,178.48318995924402,0.4571894212007237,3.044655949465023,-0.8303237856465081,0.6864862551094484,0.025983877684732953,9.894618247047697,-0.0681955826780154
1.868,,,STABLE,,178.99724397933645,178.3705769418719,0.6266670374645571,3.0918543916829484,-0.8744337312648167,0.7549893268633153,0.02316077821976986,9.889990485360608,-0.11594906854151077
1.901,,,STABLE,,178.98560157719584,178.30422190463702,0.681379672558819,3.141004687392646,-0.9053535642823848,0.7904245310806359,0.05772263892206517,9.887479186299734,-0.06021512532021234
1.935,,,STABLE,,178.9443001521117,178.21041129765055,0.7338888544611564,3.1910430885820302,-0.8848559294169509,0.904732772932584,0.08801829962770472,9.88374382623567,-0.17009304482735388
1.968,,,STABLE,,178.8131901915318,178.1670014791822,0.6461887123495842,3.246886529462905,-0.7938744820088963,1.0391240388089062,0.0883546849490657,9.876478512707708,-0.30234195947457465
2.002,,,STABLE,,178.67554674762513,178.16601277059124,0.5095339770338967,3.3012664172068305,-0.6534847093117153,1.1805025200970245,0.0812467954555067,9.866294337244375,-0.36997795886742324
2.035,,,STABLE,,178.51112785504876,178.22028599527826,0.29084185977049515,3.354200084018978,-0.4433128720222725,1.3364011326994178,0.06572909044987242,9.849351936508373,-0.47081371774481795
2.068,,,STABLE,,178.4642393106192,178.28892334818713,0.17531596243208014,3.402501697268869,-0.3051292969171298,1.405947354895817,0.04984059278169886,9.836499721765138,-0.2953340331114873
2.102,,,STABLE,,178.45497601515146,178.3533512164551,0.10162479869634922,3.4574823541085564,-0.206976991208419,1.43967179233638,0.04373767661720502,9.835715185084172,0.29406578033308506
2.135,,,BOTTOM,,178.51990257065626,178.3787711376477,0.14113143300855313,3.498947085986989,-0.1448464965107574,1.4763823658415092,0.04013285678508982,9.852792106994741,0.7314971467219493
2.168,,,STABLE,,178.59615201210946,178.34339659725234,0.25275541485711983,3.5402183497699427,-0.0758561825156234,1.580747220232093,0.04421321432216263,9.876543386868448,0.2492352764888892
2.202,,,STABLE,,178.67966779789674,178.29202011783534,0.3876476800614057,3.580207682075835,-0.0290592945135124,1.6789205876512812,0.07990778437753858,9.873659574748475,-0.4025022035320376
2.235,,,STABLE,,178.75683818829188,178.23614703950523,0.5206911487866535,3.60333715580533,-0.0155620522258356,1.7482909082689555,0.13884220041586035,9.85639291726451,-0.6354358474460469
2.268,,,STABLE,,178.80435183063577,178.1848112633601,0.6195405672756635,3.6050637338728775,-0.0735389469141499,1.7416497897256993,0.18613584241141526,9.836252127915577,-0.29593771777166467
2.302,,,STABLE,,178.86479722715745,178.2012729047964,0.6635243223610416,3.6005990027118195,-0.1456838500785825,1.6530432451248234,0.16246697233664412,9.832078990984481,-0.01152342136902007
2.335,,,STABLE,,178.91930154783137,178.27073446709628,0.6485670807350914,3.5820591705309823,-0.2005980350600171,1.5286674978438075,0.10110180177925382,9.83421504813581,0.13574607673575656
2.369,,,STABLE,,178.9610500151859,178.3910084761116,0.5700415390742819,3.5480783797502853,-0.1956290842679286,1.4133624396205635,0.020545424348106,9.843449257054152,0.35248097289758107
2.402,,,STABLE,,178.98561107256782,178.4660703242942,0.519540748273613,3.474062933653502,-0.118304059393806,1.4156256163120031,0.02730210779264426,9.85701963552013,0.5239774717290402
2.435,,,STABLE,,179.06150543352788,178.51655644503248,0.5449489884954062,3.3606477646527666,0.0015554992334135,1.4849990542010327,0.03640494832299829,9.87208573959773,0.3919423393081729
2.469,,,STABLE,,179.1267906752594,178.53745246814282,0.5893382071165831,3.2274095290179843,0.1540414593429814,1.6165889912001,0.03156337215886796,9.874676530287536,-0.31767695534182394
2.502,,,STABLE,,179.15284412935864,178.5357676017129,0.617076527645736,3.0728509666340664,0.2316445803003516,1.6958769785875498,0.033317128352719716,9.858045209878098,-0.703791552886571
2.535,,,STABLE,,179.16197071673508,178.56911858823605,0.5928521284990325,2.912181060986572,0.3149520486335823,1.7458334603974648,0.031218063020463517,9.832137410016399,-0.4395439504950218
2.569,,,STABLE,,179.26320379555264,178.6234405571727,0.6397632383799419,2.7915960083651097,0.3841020071417232,1.760661449969208,0.016681596398406922,9.825837539130244,0.004277381348117615
2.602,,,STABLE,,179.380760475427,178.6702452322009,0.7105152432260979,2.710669508589307,0.4496609701983274,1.7794157379972924,0.009040559703905441,9.830561773636468,0.265921406898201
2.635,,,STABLE,,179.4681984749342,178.6945817293297,0.7736167456044996,2.637101176386886,0.499338769291125,1.8047570399613164,0.020149581724233215,9.840605250465119,0.3977241300125911
2.669,,,STABLE,,179.5508862246011,178.7031935800753,0.8476926445258073,2.5800787880796845,0.550369760018134,1.8471761799429487,0.018354537707778,9.860161908817854,0.5641213053849015
2.702,,,STABLE,,179.6617951464611,178.69353675144632,0.9682583950147716,2.548970108810868,0.5903929651276164,1.896856213681235,0.013647333097867224,9.876631905124814,0.46313784047180206
2.736,,,STABLE,,179.72905462194657,178.668691268816,1.0603633531305832,2.542454328711083,0.6414782595847549,1.972786990768676,0.004996191775588303,9.884070981273354,-0.15383171329398238
2.769,,,STABLE,,179.6770515590299,178.6692369450888,1.0078146139410933,2.5454765484703934,0.6647453244654044,1.995508379376652,0.012896230151398718,9.872663490798617,-0.5375501140528058
2.802,,,STABLE,,179.65921193097577,178.69538338810287,0.9638285428729034,2.550394790246794,0.6686298518551396,1.9732464637519944,0.02108338025352016,9.855576602325097,-0.5268295887669296
2.836,,,BOTTOM,,179.683903391642,178.73011592286932,0.9537874687726742,2.5810239115438027,0.6458974030447101,1.9157814801757136,0.040850546563031505,9.839852005167867,-0.2678449677435992
2.869,,,STABLE,,179.70325027695844,178.728484636858,0.9747656401004292,2.621398469905017,0.615134440680953,1.886649803822953,0.04188681044318566,9.833755175505491,-0.14243363690872002
2.902,,,STABLE,,179.68398823271576,178.70362383330365,0.9803643994121103,2.6581818588030406,0.5869295195980827,1.883305686294636,0.038043791981840394,9.832028279364804,0.05760233822985583
2.936,,,BOTTOM,,179.720037554183,178.64715884566033,1.0728787085226656,2.701938614095593,0.5778123386585315,1.9306534929982715,0.041888063956044344,9.84296336266978,0.5030717946181085
2.969,,,STABLE,,179.71104912231445,178.5846837815129,1.1263653408015557,2.7638312025178067,0.5885669720241936,2.0038831905112824,0.0389227884357092,9.862214078631872,0.7325366790466887
3.003,,,STABLE,,179.69077844506756,178.49790934629175,1.192869098775816,2.8330747858357275,0.5906950879599594,2.0927857416681355,0.031435024772900964,9.884086549800916,0.6517817183652141
3.036,,,STABLE,,179.64150986125455,178.3476411667131,1.2938686945414588,2.8944117687971223,0.5511026592436897,2.203461492530545,0.022887009437634928,9.899552344937304,0.03842564881449562
3.069,,,STABLE,,179.56342994169552,178.22754356048358,1.3358863812119353,2.966232778811018,0.4927640370506644,2.265220476567155,0.021644050928018497,9.892120966414813,-0.49993846804903797
3.103,,,STABLE,,179.4925208043225,178.1283057164323,1.3642150878902157,3.04327673789807,0.4285894391260112,2.3002837226937625,0.035750096905175756,9.872701352557504,-0.6989987064641241
3.136,,,STABLE,,179.45829404363,178.06371211309212,1.3945819305378677,3.129080163387063,0.3724313826200084,2.3087192695279746,0.048403475410294536,9.85030990191582,-0.32551984127331934
3.169,,,BOTTOM,,179.4592793474303,178.06375789489832,1.3955214525319946,3.1920622855673555,0.3691385438606233,2.305380648962456,0.038960635463368344,9.84655529077153,0.049778562904180035
3.203,,,STABLE,,179.4702884304949,178.0791556289021,1.3911328015927893,3.265156030352236,0.3887655466967911,2.309609917794741,0.026106018695649172,9.851499505731699,0.23727235873838026
3.236,,,STABLE,,179.51796995134185,178.0879016951417,1.430068256200144,3.306991738810241,0.414596616348767,2.326694921207031,0.041092913356010584,9.86178227239289,0.23659285231030935
3.269,,,STABLE,,179.59317826709778,178.08787111441168,1.5053071526861004,3.2973283479776327,0.4274891455202095,2.3396180311085097,0.036936935010910985,9.867376243167506,0.1231912298897555
