frame,time,squat_id,state,phase,knee_angle,hip_angle,trunk_angle,knee_angle_imu_sync
1,0.033,,STANDING,,177.90493422783248,0.7421782220801856,0.5462815360510551,112.67933796088475
2,0.066,,STANDING,,177.9205009871559,0.6230102273404221,0.3681058046137455,109.43978434073452
3,0.1,,STANDING,,178.15467096647558,0.471446214736297,0.2758057707757108,114.63143137086723
4,0.133,,STANDING,,178.35132126568726,0.3582147409257836,0.2787330801317514,117.0505951455477
5,0.166,,STANDING,,178.4488379637708,0.3164970853646093,0.329703864380613,103.44672240396882
6,0.2,,STANDING,,178.6750030805994,0.2819322133862437,0.4031832751823875,108.67869418735884
7,0.233,,STANDING,,178.7602510606212,0.2884831667882713,0.5797257751235027,100.04576228199528
8,0.266,,STANDING,,178.6247137388436,0.4581761544212648,0.8976285819392045,85.99338467726294
9,0.3,,STANDING,,178.32907248141092,0.712098421132118,1.261625007369908,86.36141691944614
10,0.333,,STANDING,,178.05503130665406,1.0200082842217533,1.6529834838933373,96.71531072395791
11,0.367,,STANDING,,177.75827598743086,1.3317750427924229,2.049666840096298,115.05552258903035
12,0.4,,STANDING,,177.37156086655804,1.599929546150015,2.429529911282033,119.1261026465445
13,0.433,,STANDING,,177.12129490737,1.8367470396833336,2.736185405185215,117.27602114006758
14,0.467,,STANDING,,177.0173860734547,2.082634401024195,3.003046452646273,105.5120848649638
15,0.5,,STANDING,,176.87357118532103,2.226655268666612,3.184093984492,81.22006325768861
16,0.533,,STANDING,,176.67693118622762,2.262587029104682,3.274373345897447,68.70637156007679
17,0.567,,STANDING,,176.7006885670369,2.346999329474042,3.348898712122144,66.0379868937097
18,0.6,,STANDING,,176.6818414616152,2.366326547536719,3.372929214064168,69.9233883427659
19,0.633,,STANDING,,176.6144571512453,2.319050738372693,3.34774100148935,73.67586666534213
20,0.667,,STANDING,,176.61336592555443,2.3046631159764104,3.337822254170165,74.31028185077292
21,0.7,,STANDING,,176.66352834761383,2.3141001353825192,3.336541421887707,74.59481156026436
22,0.734,,STANDING,,176.75665386144243,2.328098863311838,3.3284145676704058,78.33393872657476
23,0.767,,STANDING,,176.92542755694734,2.3728814764005293,3.323452064786514,87.94431667642755
24,0.8,,STANDING,,177.10946774252818,2.425279948534133,3.3211488920491625,103.99573414120273
25,0.834,,STANDING,,177.3445706770621,2.4966555705726274,3.320174515310032,118.22328679997646
26,0.867,,STANDING,,177.57653587438423,2.569234412373653,3.320160890928436,115.0597657135312
27,0.9,,STANDING,,177.74534719217831,2.6206944360402917,3.2970474998913675,114.87193421432046
28,0.934,,STANDING,,177.9940715143794,2.6965195938615296,3.270863300015094,118.82593553560062
29,0.967,,STANDING,,178.21094998662903,2.7520497788066764,3.2356586561816143,108.38782143496132
30,1.001,,STANDING,,178.42781333433604,2.791917316693013,3.170959383227166,98.80977776443682
31,1.034,,STANDING,,178.66246999213004,2.8358464542137463,3.1069178025407966,99.50957577426084
32,1.067,,STANDING,,178.91104095807887,2.889334258403374,3.0677246688334816,105.9898282637726
33,1.101,,STANDING,,179.14405825173742,2.937740810881305,3.024395405870856,112.22047593713434
34,1.134,,STANDING,,179.4161685648712,3.003903546292806,2.982868813256451,115.71771353721854
35,1.167,,STANDING,,179.5950305828855,3.0294579768422425,2.945242933273416,118.62106841292778
36,1.201,,STANDING,,179.71598211727493,3.0421564933927834,2.901993480442348,121.45547413297166
37,1.234,,STANDING,,179.83907663927155,3.0687910128615936,2.8651793266837644,121.91141446529248
38,1.267,,STANDING,,179.81210261258929,3.039846558383247,2.8279543551643864,118.9531023965398
39,1.301,,STANDING,,179.74861837930638,3.002238115264011,2.8008603272387296,114.38373138279744
40,1.334,,STANDING,,179.6642895620543,2.985748704114393,2.801585439441708,112.32494422091912
41,1.368,,STANDING,,179.59870618335745,2.967804240225631,2.806438193732323,113.49462210892231
42,1.401,,STANDING,,179.5430774692498,2.9482132055068657,2.815809576562882,116.69042693448775
43,1.434,,STANDING,,179.47019140530054,2.8948350114679267,2.7982438851174973,120.5019494863727
44,1.468,,STANDING,,179.4353113522083,2.8654372677774496,2.7920087451783178,123.71487510676106
45,1.501,,STANDING,,179.35230600341168,2.817750827267051,2.7866991343839245,124.40059169637269
46,1.534,,STANDING,,179.29118901178637,2.779239187149769,2.792347739963742,122.20702820023304
47,1.568,,STANDING,,179.19458812558037,2.726705505710196,2.799860040782091,118.71575104333444
48,1.601,,STANDING,,179.10930408591784,2.6919844632435077,2.8229491263997866,118.11853559299382
49,1.634,,STANDING,,178.99112577477658,2.648313102688721,2.844682132620864,123.57811437562938
50,1.668,,STANDING,,178.95729768267984,2.6245480981446367,2.8587209290321485,132.8445650349918
51,1.701,,STANDING,,178.91948823761632,2.6099481747255058,2.876997876655381,133.96119874386582
52,1.735,,STANDING,,178.88834751284148,2.5918636978635616,2.8954356115599653,122.91875588718192
53,1.768,,STANDING,,178.88988617176102,2.60934316619755,2.94507514860506,124.18653933097566
54,1.801,,STANDING,,178.90932744771578,2.627412915258146,2.991286901720997,131.04909320859696
55,1.835,,STANDING,,178.94037938044474,2.656255369846816,3.044655949465023,134.12589353704857
56,1.868,,STANDING,,178.99724397933645,2.683386272999755,3.0918543916829484,117.28652775317666
57,1.901,,STANDING,,178.98560157719584,2.7032538336785934,3.141004687392646,11.463308758819515
58,1.935,,STANDING,,178.9443001521117,2.71665268126027,3.1910430885820302,21.86767449858903
59,1.968,,STANDING,,178.8131901915318,2.705261001471136,3.246886529462905,21.068034163576996
60,2.002,,STANDING,,178.67554674762513,2.6869046333435307,3.3012664172068305,140.1744578261581
61,2.035,,STANDING,,178.51112785504876,2.665926909561964,3.354200084018978,144.84004387207096
62,2.068,,STANDING,,178.4642393106192,2.668694371362762,3.402501697268869,140.55725999777104
63,2.102,,STANDING,,178.45497601515146,2.6950564072411725,3.4574823541085564,115.44292623908171
64,2.135,,STANDING,,178.51990257065626,2.73574604951238,3.498947085986989,105.67406217300602
65,2.168,,STANDING,,178.59615201210946,2.790795814669392,3.5402183497699427,117.54444123648207
66,2.202,,STANDING,,178.67966779789674,2.8478416300317786,3.580207682075835,133.85820201880418
67,2.235,,STANDING,,178.75683818829188,2.8878091283163347,3.60333715580533,151.42264289597946
68,2.268,,STANDING,,178.80435183063577,2.9066987282046317,3.6050637338728775,154.28769937531322
69,2.302,,STANDING,,178.86479722715745,2.92831382243672,3.6005990027118195,142.19061178621112
70,2.335,,STANDING,,178.91930154783137,2.9355925571030346,3.5820591705309823,131.1077938984247
71,2.369,,STANDING,,178.9610500151859,2.9328208190579046,3.5480783797502853,138.6536526156529
72,2.402,,STANDING,,178.98561107256782,2.897437971308021,3.474062933653502,142.20431302269873
73,2.435,,STANDING,,179.06150543352788,2.840836029395862,3.3606477646527666,141.25538751191223
74,2.469,,STANDING,,179.1267906752594,2.7611536052771264,3.2274095290179843,143.60004672122562
75,2.502,,STANDING,,179.15284412935864,2.650038809720912,3.0728509666340664,141.92389303671794
76,2.535,,STANDING,,179.16197071673508,2.520706916816195,2.912181060986572,140.36834288896998
77,2.569,,STANDING,,179.26320379555264,2.450280957034166,2.7915960083651097,146.9444135658974
78,2.602,,STANDING,,179.380760475427,2.40600773731087,2.710669508589307,144.85667402843708
79,2.635,,STANDING,,179.4681984749342,2.3669878477921795,2.637101176386886,119.15490454664811
80,2.669,,STANDING,,179.5508862246011,2.3388515737626348,2.5800787880796845,69.16187790353561
81,2.702,,STANDING,,179.6617951464611,2.3371316797142265,2.548970108810868,85.76725171758088
82,2.736,,STANDING,,179.72905462194657,2.3586843399412927,2.542454328711083,130.30488276807503
83,2.769,,STANDING,,179.6770515590299,2.3701231625798647,2.5454765484703934,122.8655660024002
84,2.802,,STANDING,,179.65921193097577,2.373557741956507,2.550394790246794,100.86443632986361
85,2.836,,STANDING,,179.683903391642,2.4017146311754303,2.5810239115438027,28.75433245241349
86,2.869,,STANDING,,179.70325027695844,2.4287815232892767,2.621398469905017,46.29375749717332
87,2.902,,STANDING,,179.68398823271576,2.419637397141506,2.6581818588030406,120.17510821939493
88,2.936,,STANDING,,179.720037554183,2.412416823701673,2.701938614095593,126.16474334932104
89,2.969,,STANDING,,179.71104912231445,2.440046488200544,2.7638312025178067,125.24546377150041
90,3.003,,STANDING,,179.69077844506756,2.476135340743264,2.8330747858357275,131.0159907241601
91,3.036,,STANDING,,179.64150986125455,2.522414400865069,2.8944117687971223,136.37869523855713
92,3.069,,STANDING,,179.56342994169552,2.5912585578991063,2.966232778811018,60.77684388179658
93,3.103,,STANDING,,179.4925208043225,2.66604074661499,3.04327673789807,54.372959313854075
94,3.136,,STANDING,,179.45829404363,2.7413694172285714,3.129080163387063,107.5583721680707
95,3.169,,STANDING,,179.4592793474303,2.794428765443985,3.1920622855673555,112.73718972855679
96,3.203,,STANDING,,179.4702884304949,2.841075476397145,3.265156030352236,116.92799514741871
97,3.236,,STANDING,,179.51796995134185,2.8552577971447226,3.306991738810241,122.02836004260898
98,3.269,,STANDING,,179.59317826709778,2.8148968729884003,3.2973283479776327,123.81800563156268
99,3.303,,STANDING,,179.65839373718228,2.7363801901050557,3.2479537008340413,119.49594090749905
100,3.336,,STANDING,,179.69608412061783,2.6506396282579727,3.184182344635599,111.39600180414402
101,3.37,,STANDING,,179.76152203221824,2.526015409373617,3.0779077208032226,101.40573747294373
102,3.403,,STANDING,,179.8015425786378,2.4132821003705844,2.9835468805561054,93.95259880027942
103,3.436,,STANDING,,179.80523944351623,2.323336896363285,2.902051041986065,93.50247727179165
104,3.47,,STANDING,,179.83097156598947,2.245684196602415,2.83389159137806,99.07556068886967
105,3.503,,STANDING,,179.8581909986408,2.177542234645584,2.774322303039278,109.9531069540634
106,3.536,,STANDING,,179.8663744820476,2.1352994640653344,2.73097031564957,120.7130296545713
107,3.57,,STANDING,,179.85003704173488,2.0959447272769074,2.687433450789636,119.94122049523551
108,3.603,,STANDING,,179.82759311028732,2.07602963956219,2.661459861184506,109.40741622319307
109,3.636,,STANDING,,178.834932392673,1.766338304313095,2.645349411378677,100.50450835405739
110,3.67,,STANDING,,178.05773889176223,1.5145225230638633,2.623504298664312,97.14513766418561
111,3.703,,STANDING,,177.38929529881386,1.2867245734073631,2.5994524947211146,96.10102576479618
112,3.737,,STANDING,,176.90527369027777,1.0977299191565135,2.5743791957829565,93.86618331045776
113,3.77,,STANDING,,176.6306066491251,0.973689821825272,2.5605525862339205,89.93865088725616
114,3.803,,STANDING,,177.35782672029896,1.171401342591975,2.5663874860125158,86.89945946339718
115,3.837,,STANDING,,177.88407164193174,1.2944196032689144,2.544665354352093,85.82232844559277
116,3.87,,STANDING,,178.29969848910827,1.3786133985162237,2.519012142488878,85.71150161561457
117,3.903,,STANDING,,178.57241034963195,1.4223998365196118,2.4951217365371208,86.15050463877203
118,3.937,,STANDING,,178.62804608133965,1.3899657691059182,2.450246784998245,85.64161755957956
119,3.97,,STANDING,,178.65863223106732,1.33986533270508,2.38592982780287,82.42294237051496
120,4.004,,STANDING,,178.62986430657094,1.282392987048402,2.338248478253042,77.64170490660281
121,4.037,,STANDING,,178.56169123818157,1.2141336261529136,2.2955557744916013,74.14727109545302
122,4.07,,STANDING,,178.48014368499375,1.135452717994363,2.2462674915406797,74.39785253720774
123,4.104,,STANDING,,178.4262695222254,1.0743205478561295,2.2036265959317687,81.91176919398782
124,4.137,,STANDING,,178.3535608809447,1.0073890169993385,2.158090177187869,93.08312633274754
125,4.17,,STANDING,,178.28169525103823,0.9663656338291168,2.1480487923884874,100.49512145662814
126,4.204,,STANDING,,178.23321599214182,0.9424895747966596,2.139314340749287,103.5094181817389
127,4.237,,STANDING,,178.18358922386665,0.9103931235147918,2.1235773097476898,103.72463058553396
128,4.27,,STANDING,,178.16248300028812,0.8730073889268504,2.0973189202252867,102.53532024043108
129,4.304,,STANDING,,178.0742974423528,0.8119014623326641,2.0722187290021647,102.75925741230843
130,4.337,,STANDING,,177.97323944541807,0.7401460461757394,2.031177084920353,106.40967388449147
131,4.371,,STANDING,,177.9523129755367,0.6977085191328433,1.995135850866552,110.87478610408292
132,4.404,,STANDING,,178.00015186315508,0.6786885260769504,1.960103232452309,117.49810638833499
133,4.437,,STANDING,,178.08220052635724,0.715690579977975,1.9666095142719613,122.01129318969957
134,4.471,,STANDING,,178.25310901751186,0.77839471782383,1.9703430728648432,122.720176813445
135,4.504,,STANDING,,178.46616574136326,0.8604670118507446,1.9795622756387687,122.24076725052717
136,4.537,,STANDING,,178.64014591671864,0.920217964743115,1.9720069496890984,123.8856710895813
137,4.571,,STANDING,,178.7054147072511,0.939565671157131,1.9601830345779585,127.15578291878208
138,4.604,,STANDING,,178.69610792910063,0.9093745548260012,1.9216086092103644,128.70172842946164
139,4.637,,STANDING,,178.64414898871294,0.8561386737695613,1.8703848787729436,126.97082492300726
140,4.671,,STANDING,,178.4958788529962,0.781924599111222,1.830707391014514,122.84688894341693
141,4.704,,STANDING,,178.32419691788988,0.7149158243771774,1.8099915173888423,117.15905884712053
142,4.738,,STANDING,,178.15840592828818,0.6407422380390415,1.7736895696637898,108.70628416338121
143,4.771,,STANDING,,177.9652600150842,0.603914468378246,1.783904258654233,102.86484554529922
144,4.804,,STANDING,,177.34321822950625,0.4839470782186604,1.8446689451630216,111.83733409280046
145,4.838,,STANDING,,177.04238355765966,0.4509220179023089,1.884917719586696,90.78734984107372
146,4.871,,STANDING,,176.80094296416922,0.405805154377074,1.917410375275082,77.18451054388346
147,4.904,,STANDING,,176.60366605410118,0.3976585380628656,1.9774738906702451,81.62437063448665
148,4.938,,STANDING,,176.4269195935255,0.3375807570542421,1.976161760561793,106.23399962747285
149,4.971,,STANDING,,176.70918672472155,0.3904839846158301,1.9543866566250057,130.13067594091711
150,5.005,,STANDING,,176.87628096386143,0.4191074617426927,1.9619989927736907,30.23801710181442
151,5.038,,STANDING,,177.01699145005765,0.4858678642214006,2.000656201633712,8.74665226085733
152,5.071,,STANDING,,176.64850537909192,0.453068616897172,2.088384327803939,18.53386021443422
153,5.105,,STANDING,,176.36847803603354,0.4986667917346315,2.258189066470692,28.262092766950065
154,5.138,,STANDING,,176.40238078403087,0.6704891962191407,2.471710246700656,119.18462207757437
155,5.171,,STANDING,,176.34479723219823,0.8399592303780283,2.732232290643224,147.6855320834594
156,5.205,,STANDING,,176.2822111066602,1.000879246288822,2.98742372284549,144.33117300215488
157,5.238,,STANDING,,176.7276410515451,1.3002586955546007,3.2659286739184545,127.3142547251611
158,5.271,,STANDING,,177.11076678210333,1.581693951063913,3.546746545197521,123.07522485519975
159,5.305,,STANDING,,177.1657189910435,1.7398878388249015,3.796534946985271,128.54361749355957
160,5.338,,STANDING,,177.1339503968084,1.7308008442271337,3.886201143725143,137.87512426080522
161,5.372,,STANDING,,177.09399108181643,1.674445101653578,3.925455423590271,141.47418888696808
162,5.405,,STANDING,,177.00174452367062,1.4828901210619254,3.804622697186738,149.28524864539983
163,5.438,,STANDING,,176.76862497337908,1.0935361846520348,3.470692017782844,127.69663849929411
164,5.472,,STANDING,,176.33864535908484,0.9152380338160666,2.927814556196604,141.33060693594635
165,5.505,,STANDING,,175.6782166531285,1.1985235478323275,2.172092901375115,133.0924678205817
166,5.538,,STANDING,,174.53068678664772,2.022089233095144,1.906286572101292,127.69444645067165
167,5.572,,STANDING,,172.80646845808766,3.6084176155933454,2.30003943501418,140.17450958339566
168,5.605,,STANDING,,170.64609727260097,5.97683053271669,3.454283294928726,146.332877500233
169,5.638,,STANDING,,167.87091517150822,8.949595526039072,5.571148923675515,148.48531257516993
170,5.672,,STANDING,,164.73173655435463,12.292689585960538,8.68692393262253,144.88999871892455
171,5.705,,STANDING,,160.67488915546772,16.09973724941234,11.959242207922212,127.37856742530995
172,5.739,1.0,DESCENDING,START,155.82525544270177,20.20713160460792,15.174522528141376,118.67538367429556
173,5.772,1.0,DESCENDING,START,150.68221221504214,24.382876434287034,18.176535197800387,140.39024029660413
174,5.805,1.0,DESCENDING,START,145.36125190935985,28.60071790880388,20.82989802298706,142.79130032532711
175,5.839,1.0,DESCENDING,START,139.92834611178225,32.805023804266355,23.17877039851088,136.58591599172325
176,5.872,1.0,DESCENDING,START,135.1660444443263,36.475695051849456,25.17921009576901,132.22467337045646
177,5.905,1.0,DESCENDING,START,130.999313030187,39.55392075884569,26.957603384158592,144.14965267783538
178,5.939,1.0,DESCENDING,START,126.92160688030287,42.295042401376406,28.54587368072304,161.264752803665
179,5.972,1.0,DESCENDING,START,123.14240808814604,44.68636956017603,29.963531224409557,159.21188392705653
180,6.006,1.0,DESCENDING,START,119.71794019912883,46.82972385534525,31.204783283354004,154.56595413486593
181,6.039,1.0,DESCENDING,START,116.20738631411102,49.04106231604354,32.24780194874377,149.50643005684736
182,6.072,1.0,DESCENDING,START,113.3041934275549,51.17300581466709,33.253947354436455,127.16016672912517
183,6.106,1.0,DESCENDING,START,110.52279311920115,53.39842298924631,34.241652168419826,125.5258534868516
184,6.139,1.0,DESCENDING,START,108.5485136829912,55.29847998064811,35.276275293137,131.28902417123848
185,6.172,1.0,DESCENDING,START,106.46622527490908,57.37345639074581,36.22977208830319,132.8177653356222
186,6.206,1.0,DESCENDING,START,104.81559848473364,59.41535024633227,37.32837227536798,118.60802999000191
187,6.239,1.0,DESCENDING,START,103.8804828548236,61.213204881328025,38.389597007728206,1.457851232731736
188,6.272,1.0,DESCENDING,START,103.30274826206156,62.8496797094572,39.44498900054348,7.998035005018536
189,6.306,1.0,DESCENDING,START,102.84510201092102,64.51765404691363,40.30617842274584,142.4783816761685
190,6.339,1.0,DESCENDING,START,102.95325268636186,65.54376104823632,41.15128369097217,138.99091866554437
191,6.373,1.0,DESCENDING,START,103.83406114687594,66.18279566918784,41.93415217087551,68.86161546158584
192,6.406,1.0,DESCENDING,START,107.417289786197,66.97795864871586,42.64698103382271,7.952740489276191
193,6.439,1.0,DESCENDING,START,110.39338191554988,68.1202322386619,43.23473651037268,15.88365347324283
194,6.473,1.0,DESCENDING,START,112.57509928416316,69.55226400763635,43.7207397479384,4.432950547579896
195,6.506,1.0,DESCENDING,START,113.11876476052744,71.21317676832874,44.17159540562172,75.11484365586824
196,6.539,1.0,DESCENDING,START,111.78532011802956,72.94407810523401,44.51526553739304,118.70739244896166
197,6.573,1.0,DESCENDING,START,106.3657541203314,74.55528343275375,44.75378937853037,138.17684838938928
198,6.606,1.0,DESCENDING,START,101.36884850362318,75.56854136082677,44.99817204510855,147.5654837444812
199,6.639,1.0,DESCENDING,START,96.5679446705345,76.17783514775712,45.28202892755242,146.4267868902189
200,6.673,1.0,DESCENDING,START,93.17947675918322,76.45546835397656,45.512236743552826,127.71940588238138
