session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts,imu0_ax_f,imu0_gx_f,imu0_ay_f,imu0_gy_f,imu0_az_f,imu0_gz_f,imu1_ax_f,imu1_gx_f,imu1_ay_f,imu1_gy_f,imu1_az_f,imu1_gz_f
20260212_183758,0,0.0,0.25678073089701003,0.03644186046511777,0.04806312292358794,-0.007561461794019933,-0.010182724252491691,0.010946843853820597,0.33601993355481724,-0.031946843853820184,0.066843853820598,0.002355481727574751,-0.015362126245847176,0.006109634551495015,380417,0.2532407591502081,-0.007732454063790093,0.03563899962142717,-0.009427543568728715,0.04712459258394822,0.011141533912959653,0.33294125038352973,0.001936022700913948,-0.03162813982318786,-0.015101856300169882,0.06713941454980303,0.006160781250730114
20260212_183758,1,0.01,0.20578073089700988,0.013441860465118083,0.013063122923588022,-0.0035614617940199333,-0.021182724252491694,0.008946843853820597,0.34701993355481725,-0.013946843853819502,0.08984385382059801,0.0013554817275747508,-0.004362126245847177,0.005109634551495015,380427,0.24468622496034792,-0.00375100877905572,0.035173488920573016,-0.012516056393057617,0.042258499568731483,0.011249608953238753,0.3136641410977884,0.0037127022369295576,-0.025950211771968962,-0.005199934977600861,0.07194441141118486,0.006171635857040309
20260212_183758,2,0.01,0.20978073089700988,0.01944186046511831,0.06406312292358796,0.007438538205980066,-0.028182724252491687,0.008946843853820597,0.29001993355481726,-0.013946843853819502,0.070843853820598,0.00435548172757475,0.012637873754152824,0.005109634551495015,380437,0.23735129297778526,-9.385822708959693e-06,0.03494321644095292,-0.015557763284828814,0.03777219933110383,0.011313070447753046,0.2965219834088628,0.005580984942630982,-0.020473998632539875,0.003909839298942896,0.07562677732862269,0.0061525582199281415
20260212_183758,3,0.01,0.18478073089700997,-0.007558139534882713,0.013063122923588022,0.007438538205980066,-0.010182724252491691,0.011946843853820596,0.22601993355481725,0.009053156146180186,0.09084385382059801,0.005355481727574751,0.029637873754152826,0.006109634551495015,380447,0.23168666846682326,0.003234267226923784,0.035032979671354,-0.018307106903847778,0.03371590499477763,0.011323725128237962,0.2829303188976461,0.007545641845638187,-0.015263916460326718,0.011689847855140784,0.07742376412004039,0.006085575893989018
20260212_183758,4,0.01,0.17478073089700996,0.03144186046511699,0.02306312292358803,0.013438538205980066,0.010817275747508306,0.013946843853820596,0.19501993355481728,-0.01594684385382017,0.114843853820598,0.009355481727574751,0.04063787375415282,0.007109634551495015,380457,0.22788838710221843,0.005780409817919037,0.035455263272604794,-0.020530429838579382,0.030119945221081572,0.011277147213891501,0.2738503631736253,0.009584055988683334,-0.010362727592223984,0.017806998735217787,0.07685394033540334,0.005959039796531821
20260212_183758,5,0.01,0.19678073089700998,0.05744186046511679,0.06606312292358796,0.017438538205980066,-0.019182724252491692,0.012946843853820597,0.22601993355481725,-0.020946843853819175,0.10784385382059801,0.00835548172757475,0.045637873754152826,0.007109634551495015,380467,0.22585938900840322,0.007507939650949981,0.03614255354031352,-0.022024054613432202,0.02700381404245187,0.011173446510249789,0.2696554334335786,0.011640435305500404,-0.00579853277774814,0.022182624061924512,0.0737896239115142,0.005769912930001283
20260212_183758,6,0.01,0.2597807308970099,0.06544186046511768,0.07006312292358796,0.011438538205980068,-0.052182724252491694,0.009946843853820596,0.2590199335548173,-0.022946843853819843,0.072843853820598,0.01035548172757475,0.043637873754152824,0.006109634551495015,380477,0.22522816950727598,0.008381300807556948,0.03695987075318474,-0.02263222284801339,0.024378884184308895,0.011017817003363517,0.27008378218107815,0.013625440115192556,-0.001596224741282193,0.025000246430769913,0.06847629773937981,0.00552513133289541
20260212_183758,7,0.01,0.31378073089701,0.005441860465117188,-0.020936877076412008,0.0014385382059800668,-0.052182724252491694,0.008946843853820597,0.29901993355481726,0.009053156146180186,0.084843853820598,0.01335548172757475,0.034637873754152816,0.005109634551495015,380487,0.22541623561878288,0.008444635928120277,0.037731159372524,-0.02226280268467958,0.022241470833268055,0.010820520397270097,0.2742860596255547,0.015421902809196997,0.0022113155042601694,0.026668075905321557,0.061493543415535194,0.005241604257370567
20260212_183758,8,0.01,0.22878073089701,0.050441860465117117,0.04506312292358805,0.0004385382059800668,-0.01818272425249169,0.009946843853820596,0.30201993355481727,0.023053156146179532,0.052843853820598,0.015355481727574751,0.018637873754152823,0.005109634551495015,380497,0.22573316554672926,0.007805485090983368,0.03827049495258831,-0.0208963576458888,0.020556437234521708,0.010596293233254925,0.2809560729612162,0.016896466881745356,0.005576779831290251,0.027741417856594508,0.053661909532639114,0.00494465666035422
20260212_183758,9,0.01,0.23478073089701001,0.061441860465118125,-0.005936877076412106,0.0014385382059800668,0.0028172757475083132,0.008946843853820597,0.3200199335548173,0.004053156146179404,0.021843853820598003,0.01935548172757475,0.00863787375415282,0.006109634551495015,380507,0.22547431673885884,0.006612659995447663,0.03841036279899873,-0.01858483166193207,0.019237604114378838,0.010363430665451968,0.28851806575397915,0.017915976302247626,0.008438627576595121,0.028818356206101476,0.04591018607129437,0.004665034973024136
