time,angle_raw,angle_smooth
0.16683333333333333,160.2541095207557,160.2541095207557
0.20020000000000002,161.78038330227588,161.01724641151577
0.23356666666666667,141.84155723747347,154.62535002016833
0.26693333333333336,110.88457089354716,143.69015523851306
0.3003,166.37609893873565,148.22734397855757
0.33366666666666667,164.42043582807085,149.0606092400206
0.3670333333333333,167.62691678490063,150.22991593654555
0.6339666666666667,178.64116624234393,157.58983773751964
0.7674333333333333,161.670283622428,167.7469802832958
3.7037,169.6854183716552,168.40884416987973
3.7370666666666668,174.0403790649306,170.33283281725164
3.7704333333333335,175.2527731252467,171.85800408532089
3.8038,176.91241677459584,171.51225419177126
3.8371666666666666,176.90329234502255,174.55885593629017
3.8705333333333334,179.29526408136346,176.48082507823185
3.9039,176.7191249749066,177.01657426022703
3.937266666666667,175.49486127952724,177.06499189108314
3.9706333333333332,171.01857035428694,175.88622260702135
4.0040000000000004,126.14374555616153,165.73431324924917
4.037366666666666,64.04729228309928,142.68471888959633
4.070733333333333,120.15351601684182,131.3715970979834
4.1041,176.66800403694498,131.60622564946692
4.137466666666667,22.94555858363492,101.9916232953365
4.170833333333333,67.04258650131918,90.17139148436804
4.2042,127.11525733351348,102.78498449445087
4.237566666666667,139.30197242833756,106.61467577675003
4.270933333333334,31.09361773899868,77.49979851716076
4.3043000000000005,15.07908100864025,75.92650300216181
4.337666666666666,98.32576763838081,82.18313922957415
4.371033333333333,109.66274299442175,78.69263636175582
4.4044,83.40553276055331,67.51334842819897
4.437766666666667,120.34448503491582,85.36352188738238
4.471133333333333,138.74209326865392,110.09612433938511
4.5045,170.7291908195999,124.57680897562894
4.537866666666667,177.57998669411444,138.16025771556747
4.571233333333334,178.17548446983585,157.11424805742396
4.6046000000000005,166.4033820953399,166.3260274695088
4.637966666666666,162.37434408504254,171.05247763278652
4.671333333333333,156.56521106537565,168.21968168194172
4.7047,85.03078449972232,149.70984124306327
4.738066666666667,76.30281140190725,129.33530662947754
4.771433333333333,62.226814257086936,108.49999306182694
4.8048,170.24687238174485,110.0744987211674
4.838166666666667,176.78175898416282,114.11780830492485
4.871533333333334,173.5842011804727,131.82849164107492
4.9049000000000005,166.11109076533876,149.7901475137612
4.938266666666666,166.02157757689682,170.54910017772318
4.971633333333333,174.78366214298353,171.4564581299709
5.005,179.096826015535,171.91947153624537
5.038366666666667,166.78622680985933,170.5598766621227
5.071733333333333,174.84067923272605,172.30579435560014
5.1051,142.52765766026744,167.60701037227426
5.138466666666667,175.9712524279975,167.8445284292771
5.171833333333334,162.76698413336098,164.57856005284228
5.2052000000000005,169.44757706064965,165.11083010300032
5.238566666666666,176.46895420473655,165.43648509740243
5.271933333333333,175.96466606247395,172.12388677784372
5.3053,173.83520136895615,171.69667656603548
