session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260212_183758,38,0.01,-1.29,9.368,-1.626,0.012,-0.085,-0.009,0.144,-9.998,0.162,0.002,-0.028,-0.002,380797
20260212_183758,39,0.01,-1.269,9.427,-1.601,0.018,-0.089,-0.009,0.142,-10.041,0.173,0.009,-0.014,0.001,380807
20260212_183758,40,0.01,-1.315,9.423,-1.458,0.009,-0.038,-0.009,0.145,-10.051,0.17,0.007,0.002,0.001,380817
20260212_183758,41,0.01,-1.324,9.421,-1.539,0.005,-0.003,-0.011,0.189,-10.04,0.153,0.007,0.011,0.002,380827
20260212_183758,42,0.01,-1.289,9.407,-1.637,0.007,-0.036,-0.012,0.203,-10.021,0.084,0.006,0.011,0.002,380837
20260212_183758,43,0.01,-1.245,9.425,-1.555,0.013,-0.083,-0.008,0.234,-10.025,0.083,0.012,0.001,0.003,380847
20260212_183758,44,0.01,-1.213,9.417,-1.583,0.009,-0.072,-0.006,0.261,-10.031,0.069,0.012,-0.005,0.004,380857
20260212_183758,45,0.01,-1.278,9.447,-1.651,0.006,-0.01,-0.005,0.223,-10.045,0.096,0.01,-0.016,0.003,380867
20260212_183758,46,0.01,-1.329,9.419,-1.61,0.006,0.003,-0.002,0.14,-10.043,0.098,0.009,-0.032,0.002,380877
20260212_183758,47,0.01,-1.289,9.403,-1.548,0.013,-0.051,-0.001,0.093,-10.052,0.086,0.007,-0.035,0.001,380887
20260212_183758,48,0.01,-1.28,9.435,-1.523,0.019,-0.082,0.0,0.09,-10.03,0.092,0.001,-0.024,0.0,380897
20260212_183758,49,0.01,-1.263,9.405,-1.507,0.013,-0.054,-0.0,0.112,-10.021,0.13,0.001,-0.009,0.002,380907
20260212_183758,50,0.01,-1.274,9.404,-1.533,0.005,-0.022,-0.002,0.223,-10.043,0.144,0.006,-0.011,0.005,380917
20260212_183758,51,0.01,-1.278,9.423,-1.588,0.008,-0.045,-0.005,0.284,-10.032,0.208,0.002,-0.009,0.002,380927
20260212_183758,52,0.01,-1.265,9.411,-1.646,0.005,-0.064,-0.009,0.272,-10.044,0.195,0.006,0.003,0.001,380937
20260212_183758,53,0.01,-1.268,9.394,-1.655,0.002,-0.02,-0.007,0.185,-10.08,0.173,0.013,0.007,0.001,380947
20260212_183758,54,0.01,-1.29,9.411,-1.635,0.002,0.01,-0.006,0.16,-10.03,0.205,0.007,0.002,0.002,380957
20260212_183758,55,0.01,-1.239,9.412,-1.614,0.006,-0.032,-0.008,0.147,-10.028,0.205,0.01,0.002,0.006,380967
20260212_183758,56,0.01,-1.21,9.424,-1.582,0.018,-0.077,-0.007,0.15,-10.056,0.209,0.012,0.008,0.006,380977
20260212_183758,57,0.01,-1.217,9.412,-1.582,0.009,-0.074,-0.007,0.176,-10.07,0.133,0.007,-0.004,0.002,380987
20260212_183758,58,0.01,-1.22,9.379,-1.541,0.01,-0.032,-0.008,0.164,-10.021,0.123,0.0,-0.021,-0.002,380997
20260212_183758,59,0.01,-1.229,9.442,-1.533,0.017,-0.02,-0.012,0.16,-10.014,0.083,0.003,-0.028,-0.001,381007
20260212_183758,60,0.01,-1.222,9.447,-1.568,0.012,-0.058,-0.016,0.146,-10.031,0.054,0.003,-0.042,-0.003,381017
20260212_183758,61,0.01,-1.2,9.466,-1.577,0.008,-0.06,-0.017,0.16,-10.05,0.089,-0.002,-0.046,-0.005,381027
20260212_183758,62,0.01,-1.228,9.442,-1.613,-0.002,-0.009,-0.017,0.206,-10.035,0.11,-0.005,-0.037,-0.003,381037
20260212_183758,63,0.01,-1.263,9.421,-1.679,-0.008,0.024,-0.019,0.185,-10.049,0.114,-0.005,-0.04,-0.003,381047
20260212_183758,64,0.01,-1.291,9.392,-1.653,-0.003,0.003,-0.019,0.123,-10.049,0.128,-0.006,-0.035,-0.006,381057
20260212_183758,65,0.01,-1.249,9.393,-1.59,0.009,-0.042,-0.016,0.121,-10.014,0.136,-0.009,-0.021,-0.005,381067
20260212_183758,66,0.01,-1.23,9.437,-1.628,0.014,-0.057,-0.014,0.15,-9.997,0.164,-0.002,-0.011,-0.001,381077
20260212_183758,67,0.01,-1.284,9.437,-1.606,0.006,-0.05,-0.013,0.215,-10.031,0.17,0.004,-0.0,0.004,381087
20260212_183758,68,0.01,-1.269,9.377,-1.603,0.005,-0.067,-0.011,0.221,-10.052,0.176,0.007,-0.003,0.002,381097
20260212_183758,69,0.01,-1.207,9.388,-1.563,0.014,-0.084,-0.011,0.229,-10.05,0.177,0.011,-0.014,0.002,381107
20260212_183758,70,0.01,-1.208,9.447,-1.591,0.013,-0.085,-0.012,0.273,-10.063,0.127,0.015,-0.02,0.002,381117
20260212_183758,71,0.01,-1.201,9.416,-1.638,0.002,-0.066,-0.012,0.221,-10.055,0.179,0.012,-0.026,0.001,381127
20260212_183758,72,0.01,-1.208,9.404,-1.628,0.001,-0.034,-0.011,0.206,-10.043,0.135,0.013,-0.018,0.002,381137
20260212_183758,73,0.01,-1.243,9.417,-1.607,0.004,-0.035,-0.009,0.191,-10.046,0.132,0.005,-0.032,0.001,381147
20260212_183758,74,0.01,-1.23,9.437,-1.61,0.009,-0.057,-0.006,0.194,-10.016,0.16,-0.005,-0.044,0.0,381157
20260212_183758,75,0.01,-1.206,9.424,-1.54,0.003,-0.058,-0.007,0.197,-10.089,0.167,-0.001,-0.036,0.002,381167
20260212_183758,76,0.01,-1.228,9.425,-1.511,0.003,-0.044,-0.006,0.177,-10.063,0.135,-0.01,-0.026,-0.001,381177
20260212_183758,77,0.01,-1.241,9.436,-1.559,0.007,-0.037,-0.009,0.16,-10.014,0.099,-0.009,-0.032,-0.001,381187
20260212_183758,78,0.01,-1.213,9.441,-1.624,0.013,-0.051,-0.012,0.112,-10.021,0.141,-0.005,-0.03,0.001,381197
20260212_183758,79,0.01,-1.224,9.427,-1.667,0.012,-0.064,-0.012,0.111,-10.015,0.205,-0.013,-0.018,0.005,381207
20260212_183758,80,0.01,-1.285,9.395,-1.72,0.002,-0.005,-0.012,0.221,-10.021,0.181,-0.011,-0.005,0.011,381217
20260212_183758,81,0.01,-1.322,9.373,-1.657,-0.004,-0.005,-0.012,0.181,-10.064,0.317,-0.007,0.016,0.013,381227
20260212_183758,82,0.01,-1.291,9.4,-1.627,0.013,-0.042,-0.013,0.083,-10.065,0.209,0.003,0.009,0.012,381237
20260212_183758,83,0.01,-1.241,9.436,-1.592,0.018,-0.067,-0.017,-0.073,-9.933,-0.23,0.018,0.0,0.016,381247
20260212_183758,84,0.01,-1.249,9.411,-1.482,0.01,-0.067,-0.023,-0.273,-9.922,-0.276,0.028,0.058,0.029,381257
20260212_183758,85,0.01,-1.292,9.388,-1.443,0.011,-0.075,-0.027,-0.39,-10.134,-0.042,0.037,0.086,0.016,381267
