session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260204165743,0,0,-0.25,-9.309,3.314,0.005,-0.04,-0.011,0.288,6.384,-6.983,0.002,-0.038,-0.002,363714
20260204165743,1,0.544,-0.244,-9.313,3.411,0.005,-0.039,-0.015,0.287,6.389,-6.949,0.001,-0.039,-0.003,364258
20260204165743,2,5.602,0.65,-8.132,4.22,-0.556,-0.077,0.528,0.695,3.46,-8.594,-0.383,-0.383,0.691,369860
20260204165743,3,0.259,-0.108,-8.615,4.877,0.001,-0.04,-0.014,0.217,4.369,-8.234,0,-0.021,-0.035,370119
20260204165743,4,0.324,-0.102,-8.62,4.859,-0.005,-0.04,-0.013,0.24,4.427,-8.168,-0.01,-0.037,-0.003,370443
20260204165743,5,0.213,-0.963,-8.375,5.088,-0.653,-0.545,0.279,0.202,4.449,-8.175,-0.188,0.092,-0.244,370656
20260204165743,6,0.2,-1.105,-8.313,4.761,-0.171,0.482,-0.156,1.304,5.332,-9.452,0.861,1.211,0.47,370856
20260204165743,7,0.184,-0.309,-9.284,4.105,-0.051,1.011,0.422,1.083,3.351,-8.198,0.366,0.205,-0.513,371040
20260204165743,8,0.507,-1.204,-10.636,4.642,0.018,-1.73,0.869,1.161,2.863,-9.155,0.571,0.017,-0.587,371547
20260204165743,9,0.131,-1.345,-8.527,4.445,-0.046,-1.645,-0.17,0.944,3.026,-9.153,0.51,0.377,-0.395,371678
20260204165743,10,0.496,0.245,-8.467,5.501,0.037,0.95,0.762,-1.143,6.325,-8.114,-2.115,-1.527,-0.735,372174
20260204165743,11,0.212,-0.439,-8.717,4.641,-0.124,0.785,-0.44,0.833,3.765,-8.652,-0.093,-0.112,0.21,372386
20260204165743,12,0.492,-0.153,-8.841,4.598,-0.002,-0.039,-0.013,0.234,4.496,-8.176,-0.004,-0.037,-0.004,372878
20260204165743,13,0.618,-0.14,-8.85,4.513,0,-0.04,-0.014,0.245,4.501,-8.186,-0.002,-0.038,-0.004,373496
20260204165743,14,0.619,-0.142,-8.856,4.512,0.002,-0.039,-0.014,0.246,4.509,-8.179,0,-0.038,-0.004,374115
