time,squat_id,phase,phase_percent,knee,trunk
7.374,4,START,0.0,159.7055820202954,16.67239679216189
7.407,4,DESCENT,1.866515837104093,153.85674379032744,19.382735502953683
7.44,4,DESCENT,3.733031674208186,147.74373798213318,22.203829760515273
7.474,4,DESCENT,5.656108597285098,141.28597407803662,24.874157656879067
7.507,4,DESCENT,7.522624434389141,135.9136112620779,27.390401953565497
7.54,4,DESCENT,9.389140271493234,131.5476718868085,29.693479929667
7.574,4,DESCENT,11.312217194570147,126.98677886178646,31.731248565788178
7.607,4,DESCENT,13.17873303167424,122.6484735267006,33.37709482262491
7.64,4,DESCENT,15.045248868778282,118.44756390777926,35.05813041784726
7.674,4,DESCENT,16.968325791855246,114.090788159915,36.79891218305461
7.707,4,DESCENT,18.83484162895929,109.99097541133911,38.44486065678231
7.741,4,DESCENT,20.7579185520362,106.5864714957728,39.88134624078824
7.774,4,DESCENT,22.624434389140294,103.49432844737677,41.27865191090243
7.807,4,DESCENT,24.490950226244387,100.96504013845345,42.660373690808676
7.841,4,DESCENT,26.4140271493213,98.71303966278495,43.67058764499457
7.874,4,DESCENT,28.280542986425345,96.45552408568662,44.566511006291705
7.907,4,DESCENT,30.147058823529438,93.75540567450629,45.474197236631966
7.941,4,DESCENT,32.07013574660635,91.2626397125501,46.35677265176243
7.974,4,DESCENT,33.93665158371044,88.68615303101788,47.10839826049194
8.008,4,BOTTOM,35.859728506787306,86.44066490716678,48.05047712289511
8.041,4,BOTTOM,37.726244343891445,84.33720155154518,48.98456677806039
8.074,4,BOTTOM,39.59276018099549,82.63241300144128,49.84072456364609
8.108,4,BOTTOM,41.51583710407245,81.18502334710713,50.670471559254345
8.141,4,BOTTOM,43.38235294117649,80.01423392627476,51.2115628610522
8.174,4,BOTTOM,45.24886877828054,79.05118873766492,51.479150020850376
8.208,4,BOTTOM,47.1719457013575,78.27906040564729,51.637079481232206
8.241,4,BOTTOM,49.03846153846154,77.71648988763498,51.65997281079201
8.274,4,BOTTOM,50.904977375565586,77.3367701261834,51.36819898285918
8.308,4,BOTTOM,52.82805429864255,76.95218782489829,51.06155720336493
8.341,4,BOTTOM,54.69457013574659,76.49279354727408,50.77052968593436
8.375,4,BOTTOM,56.61764705882355,76.29848452877948,50.39806757797566
8.408,4,BOTTOM,58.4841628959276,76.22496816742728,50.00090610932473
8.441,4,BOTTOM,60.350678733031735,76.5062294806558,49.82625232424271
8.475,4,ASCENT,62.2737556561086,77.41629271107713,49.343744872399235
8.508,4,ASCENT,64.14027149321264,79.03863031246057,48.51687587840794
8.541,4,ASCENT,66.00678733031678,81.48786704541764,47.49648900505783
8.575,4,ASCENT,67.92986425339366,84.77435469066761,46.38186533811688
8.608,4,ASCENT,69.7963800904978,88.34477255322662,45.03724598856916
8.641,4,ASCENT,71.66289592760184,91.99159093337924,43.685265873745045
8.675,4,ASCENT,73.5859728506788,95.66556695300783,42.4966966249382
8.708,4,ASCENT,75.45248868778285,99.35542522248917,41.06398525813335
8.742,4,ASCENT,77.37556561085981,103.11450536877435,39.3644058420442
8.775,4,ASCENT,79.24208144796386,107.0561593045064,37.40396002303434
8.808,4,ASCENT,81.1085972850679,111.40802344106206,35.37408693645538
8.842,4,ASCENT,83.03167420814486,116.15911292489766,32.93791142498952
8.875,4,ASCENT,84.8981900452489,120.69669659463617,30.404219366394027
8.908,4,ASCENT,86.76470588235294,125.49091983627618,27.907436003318946
8.942,4,ASCENT,88.6877828054299,130.60072638468196,25.231547936776618
8.975,4,ASCENT,90.55429864253395,136.3312721269253,22.32067013705963
9.009,4,ASCENT,92.47737556561091,142.7331930063113,19.349320007845655
9.042,4,ASCENT,94.34389140271495,149.51363255870532,16.330727285372575
9.075,4,ASCENT,96.21040723981899,156.00420694247845,13.179223067971781
9.109,4,ASCENT,98.13348416289595,162.18122609332684,10.116894713771998
9.142,4,ASCENT,100.0,167.32968073348496,7.006316898643936
10.343,5,START,0.0,158.66465343918864,16.75964876608304
10.377,5,DESCENT,1.5205724508050398,154.06934103986598,19.35398202371765
10.41,5,DESCENT,2.996422182468701,148.82652604187393,22.018099975055705
10.443,5,DESCENT,4.472271914132362,143.36106005216476,24.496655472575117
10.477,5,DESCENT,5.992844364937402,137.93336338489627,26.92445853141553
10.51,5,DESCENT,7.468694096601062,132.68186559217867,29.110684643533318
10.543,5,DESCENT,8.944543828264724,127.38634870123433,30.9962327143699
10.577,5,DESCENT,10.465116279069765,122.60793409224573,32.61958809896724
10.61,5,DESCENT,11.940966010733426,118.00903374038026,33.95777341624628
10.643,5,DESCENT,13.416815742397164,113.85561575755148,35.27015815421318
10.677,5,DESCENT,14.937388193202125,110.75202594297184,36.55246563107552
10.71,5,DESCENT,16.413237924865868,107.93114450235541,37.93247891680578
10.744,5,DESCENT,17.933810375670827,105.2044501428051,39.22016085716128
10.777,5,DESCENT,19.409660107334485,102.98339333561378,40.95332684396458
10.81,5,DESCENT,20.885509838998228,101.04560608978746,42.228817711220756
10.844,5,DESCENT,22.40608228980319,99.02555868891432,43.52763681450172
10.877,5,DESCENT,23.881932021466927,97.30208891564953,44.512938672779306
10.91,5,DESCENT,25.357781753130592,95.81745943255756,45.71553811916047
10.944,5,DESCENT,26.87835420393563,94.14654359468217,46.485339082794276
10.977,5,DESCENT,28.354203935599294,92.78806858317847,47.61587704285266
11.011,5,DESCENT,29.87477638640425,91.24163542216955,48.46778150558661
11.044,5,DESCENT,31.350626118067993,89.64579739246237,49.44176774879331
11.077,5,BOTTOM,32.82647584973165,87.83211005413088,50.19080931094758
11.111,5,BOTTOM,34.34704830053669,85.98573573219964,50.82807258840021
11.144,5,BOTTOM,35.82289803220036,83.88539024302003,51.29346463558621
11.177,5,BOTTOM,37.298747763864014,81.94357137910006,51.797088830370726
11.211,5,BOTTOM,38.819320214669055,80.09453517574867,52.18795754534271
11.244,5,BOTTOM,40.29516994633271,78.56052629215186,52.57055389301833
11.277,5,BOTTOM,41.77101967799638,77.28058538526854,52.996666667344996
11.311,5,BOTTOM,43.29159212880141,76.1279648167966,53.49368057438627
11.344,5,BOTTOM,44.76744186046508,75.16158584386082,53.90555103546687
11.378,5,BOTTOM,46.28801431127012,74.4826584470886,54.468882479677134
11.411,5,BOTTOM,47.763864042933776,74.07898581577288,54.895531724087014
11.444,5,BOTTOM,49.23971377459752,73.68510229880432,55.21364135708215
11.478,5,BOTTOM,50.76028622540248,73.58733467763815,55.36423468228537
11.511,5,BOTTOM,52.236135957066146,73.54570359652726,55.587143380825616
11.544,5,BOTTOM,53.71198568872988,73.4390299069579,55.625729937918095
11.578,5,BOTTOM,55.23255813953484,72.87452557524917,55.49495674015255
11.611,5,BOTTOM,56.70840787119859,72.54068595774226,55.60086944785064
11.644,5,BOTTOM,58.184257602862246,72.05285828150214,55.42683477919161
11.678,5,BOTTOM,59.70483005366728,71.75896874211512,55.10468758225086
11.711,5,BOTTOM,61.18067978533095,71.5379010549076,54.72063213378247
11.745,5,BOTTOM,62.70125223613591,71.79707388605618,54.48199604455583
11.778,5,ASCENT,64.17710196779964,72.12894010965962,53.91750021629019
11.811,5,ASCENT,65.6529516994633,72.67427531989708,53.48764784203604
11.845,5,ASCENT,67.17352415026835,73.58622613601808,52.960712452136576
11.878,5,ASCENT,68.64937388193201,74.96272167931137,52.272369750535155
11.911,5,ASCENT,70.12522361359567,76.88342445774586,51.467677421986345
11.945,5,ASCENT,71.64579606440071,79.71929091632823,50.684600074310005
11.978,5,ASCENT,73.12164579606437,83.09190242013956,49.85805812722077
12.012,5,ASCENT,74.6422182468694,86.96799151626581,48.89551156804821
12.045,5,ASCENT,76.11806797853306,91.50435193231371,47.931658207562656
12.078,5,ASCENT,77.59391771019673,96.08056610120265,46.742863339944186
12.112,5,ASCENT,79.11449016100177,100.07254443124519,45.25566153409519
12.145,5,ASCENT,80.59033989266543,103.98676669527299,43.578006691254345
12.178,5,ASCENT,82.06618962432918,107.99736709795135,41.78153189258376
12.212,5,ASCENT,83.58676207513413,111.77810500674119,39.8760677055453
12.245,5,ASCENT,85.06261180679779,115.7748963028835,37.96883762842496
12.278,5,ASCENT,86.53846153846153,120.66672114803328,36.11064546771422
12.312,5,ASCENT,88.0590339892665,125.52159504920004,34.27128789368423
12.345,5,ASCENT,89.53488372093024,129.96858293786542,32.40836946303126
12.379,5,ASCENT,91.05545617173519,134.98465137398517,30.27709521521328
12.412,5,ASCENT,92.53130590339894,140.39084400896513,27.871909695814946
12.445,5,ASCENT,94.0071556350626,145.45896773395106,25.175726137132518
12.479,5,ASCENT,95.52772808586755,151.09300645686432,22.249661956001198
12.512,5,ASCENT,97.0035778175313,157.41451793305265,19.412230944023854
12.545,5,ASCENT,98.47942754919497,162.73875931192626,16.797411938065054
12.579,5,ASCENT,100.0,167.34627563472128,14.340908655073978
13.68,6,START,0.0,159.66184811985062,16.34641583436566
13.713,6,DESCENT,1.545667447306767,154.47275281056395,19.047198359421845
13.747,6,DESCENT,3.1381733021077363,148.50619640565995,21.919483890620974
13.78,6,DESCENT,4.683840749414504,142.38180618323548,24.812194667947505
13.813,6,DESCENT,6.229508196721354,135.6673279636942,27.177510529308222
13.847,6,DESCENT,7.82201405152224,129.5225458559026,29.36634649100093
13.88,6,DESCENT,9.367681498829091,123.07706016946682,31.242539753503774
13.913,6,DESCENT,10.913348946135857,117.66001613137544,32.840147343223535
13.947,6,DESCENT,12.505854800936744,112.02927130682053,34.307392630435444
13.98,6,DESCENT,14.051522248243595,107.20552900818602,36.062963315624096
14.014,6,DESCENT,15.64402810304448,103.6840565272289,37.74212954543747
14.047,6,DESCENT,17.18969555035133,100.91395153561726,39.26493216016068
14.08,6,DESCENT,18.735362997658097,98.15838267174851,40.85290557149336
14.114,6,DESCENT,20.32786885245907,95.97627526901667,42.254547287329416
14.147,6,DESCENT,21.873536299765835,94.13137717366142,43.48111308927781
14.18,6,DESCENT,23.4192037470726,91.88432025980194,44.5445936498417
14.214,6,DESCENT,25.011709601873573,89.85242745595792,45.99186836452279
14.247,6,BOTTOM,26.557377049180335,87.84393093956871,47.2740767353472
14.28,6,BOTTOM,28.103044496487108,85.9004860001075,48.66310618151033
14.314,6,BOTTOM,29.695550351288073,83.28520878236114,50.00449824166885
14.347,6,BOTTOM,31.241217798594846,80.68483139519996,51.24909977141741
14.381,6,BOTTOM,32.833723653395815,78.10905214664271,51.996957624468266
14.414,6,BOTTOM,34.37939110070258,76.0216700878246,52.818401310047214
14.447,6,BOTTOM,35.925058548009346,74.49534665016446,53.59537129972874
14.481,6,BOTTOM,37.517564402810315,73.65724577082867,54.09623411458766
14.514,6,BOTTOM,39.06323185011708,73.03818921246136,54.439486939429344
14.547,6,BOTTOM,40.60889929742393,72.6916343172014,54.82479421602168
14.581,6,BOTTOM,42.20140515222482,72.28142569182307,54.927464025694555
14.614,6,BOTTOM,43.74707259953167,71.73072791676216,54.78606230361358
14.647,6,BOTTOM,45.29274004683844,70.88833055198488,54.4999840996485
14.681,6,BOTTOM,46.88524590163932,69.85977650842021,54.04004087674487
