time,knee_raw,knee_smooth,hip_raw,hip_smooth,trunk_raw,trunk_smooth
0.033,177.90493422783248,177.90493422783248,0.7421782220801856,0.7421782220801856,0.5462815360510551,0.5462815360510551
0.066,177.9360677464793,177.9205009871559,0.5038422326006587,0.6230102273404221,0.18993007317643584,0.3681058046137455
0.1,178.62301092511493,178.15467096647558,0.16831818952804697,0.47144621473629705,0.09120570309964153,0.27580577077571083
0.133,178.94127216332237,178.35132126568726,0.018520319494243077,0.3582147409257836,0.28751500819987336,0.27873308013175147
0.166,178.8389047561049,178.4488379637708,0.14962646311991218,0.3164970853646093,0.5335870013760596,0.32970386438061305
0.2,179.0357598119753,178.6750030805994,0.5693538621883574,0.2819322133862437,0.9136785900599276,0.40318327518238756
0.233,178.36230764658845,178.7602510606212,0.5365969996107973,0.28848316678827135,1.072642572882011,0.5797257751235027
0.266,177.94532431622704,178.6247137388436,1.0167831276930142,0.45817615442126486,1.680719737178151,0.8976285819392045
0.3,177.4630658761589,178.32907248141092,1.288131653048509,0.712098421132118,2.1074971353533902,1.261625007369908
0.333,177.46869888232055,178.05503130665406,1.6891757785680888,1.0200082842217533,2.490379383993206,1.6529834838933373
0.367,177.55198321585928,177.75827598743086,2.128187655041705,1.3317750427924229,2.897095371074731,2.049666840096298
0.4,176.42873204222445,177.37156086655804,1.8773695163987585,1.599929546150015,2.9719579288106863,2.429529911282033
0.433,176.69399452028676,177.12129490737,2.200870595359607,1.8367470396833336,3.2139972066940614,2.736185405185215
0.467,176.94352170658252,177.0173860734547,2.517568459752816,2.082634401024195,3.4418023726586817,3.0030464526462732
0.5,176.7496244416522,176.87357118532105,2.409280116780173,2.2266552686666117,3.3956170432218387,3.1840939844919998
0.533,176.56878322039222,176.67693118622762,2.307846457232057,2.262587029104682,3.3484921781019645,3.274373345897447
0.567,176.54751894627097,176.70068856703693,2.2994310182455555,2.346999329474042,3.3445847599341723,3.3488987121221436
0.6,176.59975899317797,176.6818414616152,2.297506685672992,2.366326547536719,3.334149716404183,3.3729292140641682
0.633,176.60660015473317,176.6144571512453,2.2811894139326903,2.3190507383726935,3.3158613097845913,3.34774100148935
0.667,176.74416831319786,176.61336592555443,2.3373420047987556,2.3046631159764104,3.3460233066259173,3.3378222541701654
0.7,176.8195953306891,176.66352834761383,2.3550315542626037,2.3141001353825192,3.342088016689673,3.336541421887707
0.734,177.013146515414,176.75665386144243,2.3694246578921483,2.328098863311838,3.3039504888476654,3.3284145676704058
0.767,177.44362747070255,176.92542755694734,2.521419751116448,2.3728814764005293,3.30933720198472,3.323452064786514
0.8,177.52680108263746,177.10946774252818,2.54318177460071,2.425279948534133,3.3043454460978383,3.3211488920491625
0.834,177.9196829858676,177.3445706770621,2.6942201149912273,2.4966555705726274,3.341151422930264,3.3201745153100317
0.867,177.97942131729963,177.57653587438423,2.7179257632677314,2.569234412373653,3.3420198947816924,3.320160890928436
0.9,177.85720310438427,177.74534719217831,2.626724776225342,2.6206944360402913,3.188383533662322,3.2970474998913675
0.934,178.68724908170782,177.99407151437939,2.900545540222638,2.6965195938615296,3.1784162026033513,3.270863300015094
0.967,178.61119344388584,178.21094998662903,2.8208326993264445,2.7520497788066764,3.1283222269304445,3.2356586561816143
1.001,179.00399972440255,178.42781333433604,2.893557804422908,2.791917316693013,3.0176550581580184,3.170959383227166
1.034,179.15270460626974,178.66246999213004,2.937571450871397,2.8358464542137463,3.0218119913498467,3.1069178025407966
1.067,179.1000579341285,178.91104095807887,2.8941637971734817,2.889334258403374,2.992417865125747,3.0677246688334816
1.101,179.85233555000045,179.14405825173742,3.1425783026122924,2.937740810881305,2.961769887790225,3.024395405870856
1.134,179.97174500955487,179.4161685648712,3.151646376383949,3.003903546292806,2.920689263858417,2.982868813256451
1.167,179.89830981447395,179.5950305828855,3.0213299571700913,3.0294579768422425,2.8295256582428463,2.9452429332734162
1.201,179.75746227821696,179.71598211727493,3.0010640336241012,3.0421564933927834,2.805564727194506,2.901993480442348
1.234,179.71553054411154,179.83907663927155,3.027336394517535,3.0687910128615936,2.8083470963328256,2.8651793266837644
1.267,179.71746541658914,179.81210261258929,2.9978560302205604,3.039846558383247,2.775645030193339,2.8279543551643864
1.301,179.6543238431404,179.74861837930638,2.9636041607877677,3.002238115264011,2.785219124230131,2.8008603272387296
1.334,179.47666572821373,179.6642895620543,2.938882901422003,2.9857487041143935,2.8331512192577364,2.8015854394417077
1.368,179.42954538473236,179.59870618335745,2.911341714180289,2.967804240225631,2.8298284986475832,2.806438193732323
1.401,179.43738697357324,179.5430774692498,2.929381220923709,2.9482132055068657,2.8552040104856227,2.815809576562882
1.434,179.353035096843,179.47019140530054,2.730965060025864,2.8948350114679267,2.6878165729664136,2.7982438851174973
1.468,179.4799235776791,179.4353113522083,2.816615442335383,2.8654372677774496,2.7540434245342342,2.7920087451783178
1.501,179.06163898423088,179.35230600341168,2.7004506988700108,2.817750827267051,2.806603165285769,2.7866991343839245
1.534,179.1239604266057,179.29118901178637,2.718783513593879,2.779239187149769,2.8580715265466723,2.792347739963742
1.568,178.9543825425432,179.19458812558037,2.666712813725843,2.726705505710196,2.8927655145773645,2.799860040782091
1.601,178.92661489853043,179.10930408591784,2.5573598476924215,2.6919844632435073,2.8032620010548928,2.8229491263997866
1.634,178.8890320219728,178.99112577477658,2.5982586395614544,2.6483131026887214,2.86270845563962,2.844682132620864
1.668,178.89249852374707,178.95729768267984,2.5816256761495855,2.6245480981446367,2.8767971473421934,2.8587209290321485
1.701,178.93491320128808,178.91948823761632,2.645783896498225,2.6099481747255058,2.949456264662835,2.8769978766553814
1.735,178.7986789186691,178.88834751284148,2.57629042941612,2.5918636978635616,2.9849541891002853,2.8954356115599653
1.768,178.93430819312798,178.88988617176102,2.6447571893623647,2.60934316619755,3.051459686280366,2.94507514860506
1.801,178.98623840174665,178.90932744771578,2.6886073848644356,2.627412915258146,3.0937672212193066,2.991286901720997
1.835,179.0477581873919,178.94037938044474,2.7258379490929365,2.656255369846816,3.143642386062322,3.044655949465023
1.868,179.21923619574662,178.99724397933645,2.7814384122629168,2.683386272999755,3.1854484757524633,3.0918543916829484
1.901,178.74046690796612,178.98560157719584,2.675628232810313,2.7032538336785934,3.230705667648775,3.141004687392646
1.935,178.72780106770725,178.9443001521117,2.7117514272707455,2.71665268126027,3.3016516922272827,3.1910430885820302
1.968,178.33068859884716,178.8131901915318,2.631648985918768,2.7052610014711362,3.3729844256236827,3.2468865294629055
2.002,178.35954096785863,178.67554674762513,2.6340561084549092,2.6869046333435307,3.4155418247819496,3.3012664172068305
2.035,178.3971417328647,178.51112785504876,2.6765497933550866,2.665926909561964,3.450116809813199,3.354200084018978
2.068,178.50602418581818,178.4642393106192,2.6894655418143,2.668694371362762,3.4722137338982293,3.402501697268869
2.102,178.68148459036868,178.45497601515146,2.8435616066627984,2.6950564072411725,3.5765549764257205,3.4574823541085564
2.135,178.65532137637112,178.51990257065626,2.835097197274801,2.7357460495123798,3.580308085015844,3.498947085986989
2.168,178.74078817512452,178.59615201210946,2.909304934239971,2.7907958146693916,3.621898143696722,3.5402183497699427
2.202,178.81472066180118,178.67966779789674,2.9617788701670236,2.8478416300317786,3.6500634713426616,3.580207682075835
2.235,178.89187613779396,178.75683818829188,2.8893030332370784,2.8878091283163347,3.5878611025457037,3.60333715580533
2.268,178.9190528020881,178.80435183063577,2.9380096061042824,2.9066987282046313,3.5851878667634565,3.6050637338728775
2.302,178.9575483589796,178.86479722715745,2.943172668435243,2.92831382243672,3.557984429210553,3.6005990027118195
2.335,179.01330977849406,178.91930154783137,2.945698607571546,2.9355925571030346,3.529198982792537,3.5820591705309823
2.369,179.02346299857385,178.9610500151859,2.947920179941372,2.9328208190579046,3.480159517439175,3.5480783797502853
2.402,179.01468142470338,178.98561107256782,2.7123887944876617,2.897437971308021,3.2177838720617884,3.474062933653502
2.435,179.29852460688832,179.06150543352788,2.654999896543487,2.840836029395862,3.0181120217597774,3.3606477646527666
2.469,179.28397456763727,179.1267906752594,2.544760547841567,2.7611536052771264,2.89179325103664,3.2274095290179843
2.502,179.14357704899032,179.15284412935864,2.39012462979047,2.650038809720912,2.7564061708729515,3.0728509666340664
2.535,179.06909593545615,179.16197071673508,2.30126071541779,2.520706916816195,2.676809989201701,2.9121810609865717
2.569,179.52084681879103,179.26320379555264,2.3602589955775137,2.450280957034166,2.614858608954479,2.7915960083651097
2.602,179.8863080062601,179.380760475427,2.4336337979270106,2.40600773731087,2.6134795228807626,2.710669508589307
2.635,179.72116456517347,179.4681984749342,2.3496611002481136,2.3669878477921795,2.5239515900245366,2.637101176386886
2.669,179.55701579732468,179.5508862246011,2.2494432596427454,2.3388515737626348,2.4712942293369426,2.5800787880796845
2.702,179.62364054475634,179.6617951464611,2.292661245175749,2.3371316797142265,2.5212665928576183,2.5489701088108676
2.736,179.85714419621812,179.72905462194655,2.4680222967128453,2.3586843399412927,2.5822797084555544,2.542454328711083
2.769,179.626292691677,179.6770515590299,2.49082791111987,2.3701231625798647,2.628590621677314,2.5454765484703934
2.802,179.63196642490269,179.65921193097577,2.3668339971313226,2.373557741956507,2.5485427989065403,2.550394790246794
2.836,179.68047310065575,179.683903391642,2.3902277057373627,2.4017146311754303,2.624439835821987,2.5810239115438027
2.869,179.7203749713388,179.70325027695844,2.427995705744984,2.4287815232892767,2.7231393846636913,2.6213984699050172
2.902,179.76083397500474,179.68398823271576,2.422301665973994,2.419637397141506,2.7661966529456703,2.6581818588030406
2.936,179.80653929901305,179.720037554183,2.454725043920704,2.4124168237016734,2.8473743981400785,2.701938614095593
2.969,179.5870242655599,179.71104912231445,2.5049823196256735,2.4400464882005437,2.858005741017606,2.7638312025178067
3.003,179.57911971442138,179.69077844506756,2.570671968450965,2.476135340743264,2.9706577524115914,2.8330747858357275
3.036,179.47403205227374,179.64150986125455,2.6593910063540114,2.5224144008650695,3.029824299470662,2.8944117687971223
3.069,179.37043437720956,179.56342994169552,2.766522451144178,2.5912585578991063,3.125301703015155,2.966232778811018
3.103,179.451993612148,179.4925208043225,2.828635987500121,2.66604074661499,3.2325941935753386,3.04327673789807
3.136,179.41589046209725,179.45829404363,2.881625672693582,2.7413694172285714,3.287022868462568,3.129080163387063
3.169,179.5840462334231,179.4592793474303,2.835968709528032,2.794428765443985,3.2855683633130526,3.1920622855673555
3.203,179.52907746759644,179.4702884304949,2.892624561119809,2.841075476397145,3.3952930233950656,3.265156030352236
3.236,179.6088419814443,179.51796995134183,2.8374340548820713,2.8552577971447226,3.334480245305176,3.3069917388102406
3.269,179.82803519092786,179.59317826709778,2.626831366718508,2.8148968729884003,3.1842772394123005,3.2973283479776327
3.303,179.7419678125196,179.65839373718228,2.489042258276856,2.7363801901050553,3.0401496327446105,3.2479537008340413
3.336,179.77249815060102,179.69608412061785,2.40726590029262,2.6506396282579727,2.9667115823208414,3.184182344635599
3.37,179.85626702559824,179.76152203221824,2.269503466698029,2.526015409373617,2.8639199042331853,3.0779077208032226
3.403,179.80894471354216,179.8015425786378,2.2737675098669086,2.4132821003705844,2.8626760440695898,2.9835468805561054
3.436,179.8465195153202,179.80523944351623,2.1771053466820125,2.323336896363285,2.7767980465620985,2.902051041986065
3.47,179.87062842488572,179.83097156598947,2.1007787594725045,2.245684196602415,2.6993523797045826,2.83389159137806
3.503,179.9085953138577,179.8581909986408,2.066556090508465,2.1775422346455837,2.6688651406269366,2.774322303039278
3.536,179.8971844426324,179.8663744820476,2.058289613796783,2.1352994640653344,2.6471599672846415,2.73097031564957
3.57,179.7272575119786,179.85003704173488,2.076993825924772,2.0959447272769074,2.6449917197699184,2.687433450789636
3.603,179.73429985808227,179.82759311028732,2.077529908108425,2.07602963956219,2.6469300985364517,2.661459861184506
3.636,174.90732483681404,178.834932392673,0.552322083227029,1.766338304313095,2.618800130675435,2.645349411378677
3.67,176.02262780930383,178.05773889176223,0.8074771842623079,1.5145225230638633,2.5596395770551132,2.623504298664312
3.703,176.55496647789064,177.38929529881386,0.9192998655142809,1.2867245734073631,2.526900947568654,2.5994524947211146
3.737,177.30714946929817,176.90527369027777,1.1320205546705258,1.0977299191565137,2.519625225079129,2.5743791957829565
3.77,178.36096465231893,176.6306066491251,1.4573294214522166,0.9736898218252721,2.5777970507912715,2.5605525862339205
3.803,178.54342519268317,177.35782672029896,1.5408796870605426,1.171401342591975,2.6479746295684095,2.5663874860125153
3.837,178.65385241746787,177.88407164193174,1.4225684876470066,1.2944196032689144,2.451028918753002,2.544665354352093
3.87,178.63310071377316,178.29969848910827,1.340268841750827,1.3786133985162237,2.3986348882525776,2.519012142488878
3.903,178.67070877191657,178.57241034963195,1.3509527446874654,1.4223998365196118,2.4001731953203413,2.4951217365371208
3.937,178.63914331085758,178.62804608133965,1.2951590843837497,1.3899657691059182,2.3534222930968927,2.4502467849982446
3.97,178.69635594132146,178.65863223106732,1.2903775050563506,1.33986533270508,2.326389843591536,2.38592982780287
4.004,178.5100127949859,178.62986430657094,1.1352067593636175,1.282392987048402,2.212622171003863,2.338248478253042
4.037,178.29223537182634,178.56169123818157,0.9989720372733856,1.2141336261529136,2.1851713694453743,2.2955557744916013
4.07,178.26297100597756,178.48014368499375,0.9575482038947112,1.135452717994363,2.1537317805657326,2.2462674915406793
4.104,178.3697724970158,178.4262695222254,0.989498233692583,1.0743205478561295,2.140217815052336,2.2036265959317687
4.137,178.33281273491812,178.3535608809447,0.9557198507723959,1.0073890169993385,2.0987077498720397,2.158090177187869
4.17,178.15068464545337,178.28169525103823,0.930089843512508,0.9663656338291169,2.1624152470069564,2.1480487923884874
4.204,178.0498390773444,178.23321599214182,0.8795917421110989,0.9424895747966595,2.141499111249373,2.139314340749287
4.237,178.0148371646016,178.18358922386665,0.7970659474853728,0.9103931235147918,2.0750466255577447,2.1235773097476898
