squat_id,percent,knee_angle_norm,hip_angle_norm,trunk_angle_norm
1.0,0.0,155.82525544270177,20.20713160460792,15.174522528141376
1.0,1.0,152.75813148147932,22.697393975761983,16.96481372022891
1.0,2.0,149.65671804703797,25.195769518466612,18.687910578654524
1.0,3.0,146.48349081019467,27.71113679781488,20.270279681674964
1.0,4.0,143.3287059756779,30.173622937929828,21.708652629359495
1.0,5.0,140.18401226696244,32.60717411506806,23.06823522789796
1.0,6.0,137.3191820467034,34.81610671809368,24.27476887506926
1.0,7.0,134.5650250039838,36.91970579019194,25.435729854942778
1.0,8.0,132.08013790609712,38.75544766636422,26.49629894329146
1.0,9.0,129.6656632541073,40.45042877840277,27.477061198799653
1.0,10.0,127.3053909885273,42.037054482079384,28.396389417516964
1.0,11.0,125.0342979077349,43.48925669158904,29.253843266176172
1.0,12.0,122.82413401375508,44.885575429962316,30.078894651064378
1.0,13.0,120.84197142387687,46.12619932787204,30.797360548712227
1.0,14.0,118.81157901426971,47.4006512397437,31.474071738781902
1.0,15.0,116.71801233374997,48.719413085396525,32.096090142868896
1.0,16.0,114.89831024890026,50.00237502087744,32.701482058947015
1.0,17.0,113.17657623693634,51.275113190912485,33.299265575313335
1.0,18.0,111.56663629374805,52.56323701431599,33.87097236176018
1.0,19.0,110.10879270409289,53.7968591825948,34.458609502451424
1.0,20.0,108.93140424031678,54.92998407928532,35.07562111137366
1.0,21.0,107.71055034785998,56.13350079052984,35.65998551858569
1.0,22.0,106.46874926085826,57.37094126782449,36.228616334612084
1.0,23.0,105.51274556434893,58.55295037085515,36.86437525518414
1.0,24.0,104.66484651045725,59.70518620567095,37.49945456555452
1.0,25.0,104.10717755298361,60.77736133345026,38.132330405943904
1.0,26.0,103.67599982320358,61.79241779019313,38.76314181003373
1.0,27.0,103.33145992061095,62.768351869513786,39.3925392166581
1.0,28.0,103.05992654527994,63.73468726968407,39.90192597632378
1.0,29.0,102.85729354160708,64.6333242906991,40.40144483480044
1.0,30.0,102.92179067168816,65.24525719330607,40.905434885669955
1.0,31.0,103.21438648877309,65.73321601821253,41.383381169719975
1.0,32.0,103.72421915062358,66.103104292928,41.83652386632285
1.0,33.0,105.51057781933403,66.5548355602155,42.267669675236256
1.0,34.0,107.60848115935545,67.05134107328209,42.68473987049805
1.0,35.0,109.38331428376951,67.73255150510445,43.03525586378602
1.0,36.0,110.93752789454518,68.4773978092767,43.35595143550672
1.0,37.0,112.20035724202486,69.30629149202426,43.63726154478005
1.0,38.0,112.80310929000805,70.24884075333279,43.909825878312255
1.0,39.0,113.09775290555476,71.24045157727389,44.17701081375872
1.0,40.0,112.3025350096651,72.27269819273742,44.381963183251436
1.0,41.0,110.68865499849534,73.27011024209683,44.56353153818789
1.0,42.0,107.55168267982776,74.20271379637883,44.70159474976385
1.0,43.0,104.51235640067968,74.93111000971173,44.84443313122482
1.0,44.0,101.53238359653363,75.53538019227166,44.990174066929626
1.0,45.0,98.66288452497322,75.91196149527842,45.15816410612236
1.0,46.0,96.04173553606586,76.22094995154649,45.31777884721365
1.0,47.0,94.080410580319,76.38165058385233,45.451028547769184
1.0,48.0,92.52105909796904,76.49082322499862,45.5545651283344
1.0,49.0,91.30323395015934,76.55621644508456,45.63285672725371
1.0,50.0,90.6996890718576,76.47316180815959,45.69497849709512
1.0,51.0,90.2391516668682,76.3596425380116,45.74858263424811
1.0,52.0,90.07147094994879,76.20132531711668,45.764326840888224
1.0,53.0,90.06849153688776,76.02377571533778,45.75393748189957
1.0,54.0,90.25936410093439,75.82358977145648,45.71278914743633
1.0,55.0,90.53810145521466,75.65172521299445,45.559167253401505
1.0,56.0,90.87530428036825,75.46468555484604,45.37072341386352
1.0,57.0,91.79885326088738,74.88073846496233,45.12091576122131
1.0,58.0,93.03576754228654,74.22454401022833,44.84291143466137
1.0,59.0,94.78821828642384,73.4494909875148,44.51851903165614
1.0,60.0,96.59721522831403,72.4772155472907,44.138091249629454
1.0,61.0,98.43030576750762,71.42090620743166,43.73378752349797
1.0,62.0,100.93664025116458,69.82983637730274,43.132132790341025
1.0,63.0,103.42351252480229,68.19658029011418,42.50416084103295
1.0,64.0,105.8209604672487,66.49774316305539,41.82651387425142
1.0,65.0,108.17998269323486,64.66230922728832,41.10242409144435
1.0,66.0,110.50991116247256,62.72345199349926,40.34317046221794
1.0,67.0,111.91072599024355,60.906213872907706,39.48551967106941
1.0,68.0,113.15572561181148,59.11028338955793,38.58685993287454
1.0,69.0,114.24179406316394,57.3384767843053,37.58212461608789
1.0,70.0,114.8947613014586,55.68083687297759,36.549583640706416
1.0,71.0,115.09297226604258,54.143071990271075,35.487846723800374
1.0,72.0,115.57555418703109,52.43850608537316,34.43080483464523
1.0,73.0,116.10518683034601,50.73833894631186,33.36620744559459
1.0,74.0,116.51069062600686,49.317506459088065,32.24577933775186
1.0,75.0,117.03827456153057,47.85361546968934,31.10695308446314
1.0,76.0,117.74409550125408,46.3268590671152,29.941265538823256
1.0,77.0,118.60695250363634,44.8520720590849,28.765641906437896
1.0,78.0,119.54918553340603,43.39266701759309,27.584238752830647
1.0,79.0,120.87135771405315,41.86387602956754,26.365224667256022
1.0,80.0,122.18572592558323,40.36364173318328,25.11388653201703
1.0,81.0,123.4839009011954,38.9226625719547,23.795475993724462
1.0,82.0,124.97099637880633,37.41703096323037,22.48182419759344
1.0,83.0,126.56054717568304,35.876337055393904,21.170753161318054
1.0,84.0,128.21849758029794,34.24290445210524,19.722139468607363
1.0,85.0,129.9066450142296,32.593659088567655,18.273622685896008
1.0,86.0,131.67014824439536,30.920144959163867,16.862114728515973
1.0,87.0,133.5970134422233,29.21387829429906,15.508748402303976
1.0,88.0,135.6485958411697,27.482607005587667,14.199769773005215
1.0,89.0,137.78796889147904,25.695077663663128,12.932608706145222
1.0,90.0,139.9292930712113,23.922810081502472,11.691636738032294
1.0,91.0,141.99418221031158,22.28456087435285,10.544343773071535
1.0,92.0,144.20717258979366,20.619530981500127,9.455862922473806
1.0,93.0,146.57693959612337,18.926151659848724,8.429639247331504
1.0,94.0,149.1220868942315,17.14384617297897,7.378451282009071
1.0,95.0,151.71658851223782,15.341620488339826,6.327236310412553
1.0,96.0,154.2365315366368,13.634883738796967,5.365714776511984
1.0,97.0,156.7557593512486,11.933719798691804,4.425041999502504
1.0,98.0,159.27393411828433,10.240761050371791,3.5150661359055277
1.0,99.0,161.71294784754133,8.587629716744077,2.7998891705358133
1.0,100.0,164.11416396416524,6.953515076618096,2.177724291707064
2.0,0.0,157.83326886623863,13.527086883768646,7.030190754614274
2.0,1.0,154.73897843115915,16.088753360179624,8.823117142067206
2.0,2.0,151.51752140518957,18.716184019303515,10.62345916212836
2.0,3.0,148.311325419204,21.369242874735164,12.434454278209216
2.0,4.0,145.2694263892716,24.006370247271242,14.259641170558384
2.0,5.0,142.28026722293924,26.72519864595337,16.136684847266544
2.0,6.0,139.57546680575354,29.333474694585803,17.967610467487425
2.0,7.0,137.1125554316738,31.82217189283057,19.73581457641042
